		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)
VARIABLES	LABELS	TWFE crime_index	TWFE theft_to_vehicle_index	TWFE theft_to_vehicle	TWFE theft_to_people_index	TWFE theft_to_motorbike_index	TWFE theft_to_motorbike	TWFE sexual_index	TWFE homicide_index	TWFE male_index	TWFE female_index	TWFE crime_index H	TWFE crime_index H	TWFE theft_to_vehicle_index H	TWFE theft_to_vehicle_index H	TWFE theft_to_vehicle H	TWFE theft_to_vehicle H	TWFE theft_to_people_index H	TWFE theft_to_people_index H	TWFE theft_to_motorbike_index H	TWFE theft_to_motorbike_index H	TWFE theft_to_motorbike H	TWFE theft_to_motorbike H	TWFE sexual_index H	TWFE sexual_index H	TWFE homicide_index H	TWFE homicide_index H	TWFE male_index H	TWFE male_index H	TWFE female_index H	TWFE female_index H
																															
dummy_oxxo	dummy_oxxo	9.071	-0.263	-1.017*	6.785	-0.372	0.323	1.556	1.364	0.758	10.18	8.414	13.54	-0.203	-0.292	-1.248**	-0.833	6.250	12.22	-0.371	-0.395	0.122	0.362	1.429	1.169	1.310	0.840	1.375	9.492	8.940	12.94
		(12.02)	(0.189)	(0.602)	(9.855)	(0.232)	(0.685)	(1.694)	(1.226)	(8.935)	(14.61)	(11.98)	(9.849)	(0.231)	(0.201)	(0.603)	(0.623)	(9.918)	(8.626)	(0.230)	(0.276)	(0.670)	(0.673)	(1.595)	(1.177)	(1.178)	(0.752)	(9.490)	(8.224)	(14.09)	(12.18)
Constant	Constant	34.66***	2.946***	8.735***	25.01***	2.218***	9.862***	2.992***	1.497***	45.53***	28.91***	33.46***	40.60***	3.189***	2.907***	8.080***	8.978***	23.70***	32.23***	2.338***	2.188***	9.184***	9.914***	2.906***	2.478*	1.332**	0.801	48.23***	57.13***	25.82***	32.58***
		(3.792)	(0.0596)	(0.190)	(3.109)	(0.0732)	(0.216)	(0.535)	(0.387)	(2.819)	(4.611)	(4.815)	(8.188)	(0.290)	(0.104)	(0.276)	(0.227)	(4.259)	(6.006)	(0.228)	(0.114)	(0.447)	(0.276)	(0.751)	(1.335)	(0.533)	(1.024)	(4.915)	(4.652)	(6.910)	(9.655)
																															
Observations		3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924
R-squared		0.482	0.231	0.722	0.424	0.123	0.738	0.148	0.289	0.416	0.377	0.483	0.483	0.231	0.231	0.724	0.722	0.424	0.426	0.123	0.123	0.739	0.738	0.148	0.148	0.289	0.289	0.416	0.418	0.378	0.377
Chain stores		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO
Gender controles		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO																				
Day controls		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Control spillover		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI	NO	SI
Access controles		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO																				
Robust standard errors in parentheses																															
*** p<0.01, ** p<0.05, * p<0.1																															
