		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	LABELS	TWFE crime_index H A	TWFE theft_to_vehicle_index H A	TWFE theft_to_vehicle H A	TWFE theft_to_people_index H A	TWFE theft_to_motorbike_index H A	TWFE theft_to_motorbike H A	TWFE sexual_index H A	TWFE homicide_index H A	TWFE male_index H A	TWFE female_index H A
											
dummy_oxxo	dummy_oxxo	13.00	-0.260	-0.971	11.68	-0.394	0.249	1.126	0.847	9.333	12.22
		(9.817)	(0.216)	(0.615)	(8.575)	(0.271)	(0.655)	(1.157)	(0.761)	(8.361)	(11.94)
Constant	Constant	38.72***	3.124***	8.398***	29.92***	2.311***	9.328***	2.559*	0.801	57.35***	29.58***
		(7.701)	(0.190)	(0.278)	(5.948)	(0.150)	(0.436)	(1.320)	(1.013)	(4.901)	(10.30)
											
Observations		3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924	3,924
R-squared		0.484	0.231	0.725	0.427	0.123	0.740	0.148	0.289	0.418	0.378
Chain stores		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI
Day controls		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Control spillover		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
