Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
MINIMERCADO D1 # 3,ABURRA SUR,136975,2010/03/24,CANCELADA,2013/03/22,2013,,,
TIENDA D1 ANT CALDAS LA PLANTA,ABURRA SUR,261777,2023/04/26,ACTIVA,2025/03/14,2025,,,
TIENDA D1 ANT SABANETA PORTAL DEL CARMELO,ABURRA SUR,254546,2022/08/09,ACTIVA,2025/03/14,2025,6.1518596,-75.61385059999999,"Cra. 43C # 67 sur - 26, Sabaneta, Antioquia, Colombia"
TIENDA D1 ANT SAN ANTONIO DE PEREIRA LOS ALPES,ORIENTE ANTIOQUENO,168161,2025/01/08,ACTIVA,2025/01/08,2025,6.1307933,-75.3795032,"a 24-88, La Ceja-Río Negro #24-2, Rionegro, Antioquia, Colombia"
TIENDA D1 ANT SANTUARIO LA MARIA,ORIENTE ANTIOQUENO,137024,2021/06/02,ACTIVA,2025/03/20,2025,6.134888699999999,-75.2686997,"El Santuario, Antioquia, Colombia"
TIENDA D1 APIA,PEREIRA,18176968,2020/08/21,ACTIVA,2025/03/19,2025,,,
TIENDA D1 AVENIDA QUINTA,CUCUTA,438375,2023/03/25,ACTIVA,2025/03/19,2025,,,
TIENDA D1 BARRANQUILLA ASTURIAS,BARRANQUILLA,788198,2021/04/15,ACTIVA,2025/03/20,2025,11.0020244,-74.8186836,"Cl. 84 #46-46, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
TIENDA D1 BARRANQUILLA EDS CHIQUINQUIRA,BARRANQUILLA,904094,2024/11/22,ACTIVA,2025/03/20,2025,,,
TIENDA D1 BARRANQUILLA EL CARMEN CORDIALIDAD,BARRANQUILLA,732694,2019/04/25,ACTIVA,2025/03/20,2025,10.9619045,-74.7969521,"Cl. 47 #19-136 Local 3, Metropolitana, Barranquilla, Atlántico, Colombia"
TIENDA D1 BARRANQUILLA SURI SALCEDO,BARRANQUILLA,829722,2022/02/07,ACTIVA,2025/03/20,2025,10.993748,-74.8036903,"Carrera 47 esquina con calle 70 #70, Alto Prada, Barranquilla, Atlántico, Colombia"
TIENDA D1 CARMEN EL PORTICO,ORIENTE ANTIOQUENO,158210,2023/11/09,ACTIVA,2025/03/20,2025,,,
TIENDA D1 CUBA,PEREIRA,17368102,2012/01/16,ACTIVA,2025/03/21,2025,,,
