Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
JUSTO Y BUENO MALAMBO CONCORD CALLE 10,BARRANQUILLA,745781,2019/09/13,ACTIVA,2021/03/31,2021,,,
JUSTO Y BUENO MALAMBO CONCORDE CRA 25,BARRANQUILLA,765557,2020/08/13,CANCELADA,2021/03/31,2021,,,
JUSTO Y BUENO SANTA MARTA 1 DE MAYO,SANTA MARTA PARA EL MAGDALENA,228181,2020/05/26,ACTIVA,2021/03/30,2021,,,
MINIMERCADO JUSTO Y BUENO BARRANCA - PALMIRA,BARRANCABERMEJA,104698,2016/07/19,ACTIVA,2021/03/12,2021,7.0585419,-73.8511127,"Cra. 28 #47-39, Barrancabermeja, Santander, Colombia"
SUPERMERCADO JUSTO Y BUENO ALCALA DEL RIO,CUCUTA,372739,2020/06/23,ACTIVA,2021/03/31,2021,7.917549999999999,-72.48532,"Calle 17N # 18E - 130, Cúcuta, Norte de Santander, Colombia"
SUPERMERCADO JUSTO Y BUENO BELLO SAN JOSE OBRERO,MEDELLIN PARA ANTIOQUIA,70170202,2020/04/15,ACTIVA,2021/03/31,2021,6.2541414,-75.5674176,"Cl. 54 #51 - 07, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
SUPERMERCADO JUSTO Y BUENO CLASS ROMA,BOGOTA,3194288,2019/11/28,ACTIVA,2021/03/19,2021,4.6940624,-74.0564594,"Cra. 45 #106 - 15, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO CRA 6 CON CALLE 30 IBAGUE,IBAGUE,317868,2020/07/14,ACTIVA,2021/03/19,2021,4.420103999999999,-75.141415,"Ibagué, Tolima, Colombia"
SUPERMERCADOS JUSTO Y BUENO ALCALA,CARTAGO,100816,2020/10/27,CANCELADA,2021/02/16,2021,,,
MINIMERCADO JUSTO Y BUENO LA GRANJA,BOGOTA,2694507,2016/06/03,CANCELADA,2018/03/12,2018,4.699863943861897, -74.09672036511083,"#2 a 98, Cl. 77a, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO MEDELLIN SAN JAVIER SAN MICHEL,MEDELLIN PARA ANTIOQUIA,67772302,2019/03/13,ACTIVA,2021/03/31,2021,6.255477399999999,-75.6235122,"341 a 108a-347,, Cra. 108a #3642, Medellín, Antioquia, Colombia"
SUPERMERCADO JUSTO Y BUENO ACEVEDO HUILA,HUILA,334222,2019/11/15,ACTIVA,2021/03/26,2021,2.0639138,-75.78998469999999,"Altamira, Huila, Colombia"
MINIMERCADO JUSTO Y BUENO MEDELLIN CRISTO REY 2 SUR,MEDELLIN PARA ANTIOQUIA,64504902,2017/10/12,ACTIVA,2021/03/31,2021,6.211757,-75.57485799999999,"Cl 10 #43E-135, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia"
MINIMERCADO JUSTO Y BUENO MEDELLIN GUAYABAL PARQUE DE LAS CHIMENEAS,MEDELLIN PARA ANTIOQUIA,68213402,2019/05/09,ACTIVA,2021/03/31,2021,6.2050883,-75.58248139999999,"Cl. 2 Sur #50 E 29, Guayabal, Medellín, Guayabal, Medellín, Antioquia, Colombia"
SUPERMERCADO JUSTO Y BUENO MEDELLIN GERONA,MEDELLIN PARA ANTIOQUIA,71372502,2020/12/14,ACTIVA,2021/03/31,2021,6.2050883,-75.58248139999999,"Cl. 2 Sur #50 E 29, Guayabal, Medellín, Guayabal, Medellín, Antioquia, Colombia"
SUPERMERCADO JUSTO Y BUENO TURBO CENTRO,URABA,96637,2019/12/03,ACTIVA,2021/03/29,2021,6.2476154,-75.55780030000001,"Cl. 54 #38 19, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
SUPERMERCADO JUSTO Y BUENO TURBO CURRULAO TRONCAL,URABA,96452,2019/11/13,ACTIVA,2021/03/29,2021,7.993961399999999,-76.6372232,"62, Currulao, Turbo, Antioquia, Colombia"
SUPERMERCADO JUSTO Y BUENO TURBO ESTADIO,URABA,101892,2021/01/15,ACTIVA,2021/01/15,2021,6.2476154,-75.55780030000001,"Cl. 54 #38 19, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
SUPERMERCADO JUSTO Y BUENO TURBO TRONCAL,URABA,101895,2021/01/15,ACTIVA,2021/01/15,2021,6.2541414,-75.5674176,"Cl. 54 #51 - 07, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
MINIMERCADO JUSTO Y BUENO PROVENZA 105,BUCARAMANGA,9000447135,2019/11/28,ACTIVA,2021/03/17,2021,7.085527799999999,-73.1167145,"Ac 105 # 21 - 35, Bucaramanga, Santander, Colombia"
MINIMERCADO JUSTO Y BUENO PORTAL DE PROVENZA,BUCARAMANGA,9000467483,2020/08/06,ACTIVA,2021/03/17,2021,,,
MINIMERCADO JUSTO Y BUENO TOLEDO PLATA,BUCARAMANGA,9000474981,2020/10/29,ACTIVA,2021/03/17,2021,7.0814081,-73.12399289999999,"Ac 105 # 9 - 265, Girón, Bucaramanga, Girón, Santander, Colombia"
SUPERMERCADO JUSTO Y BUENO USAQUEN SANTA BARBARA 116,BOGOTA,3307238,2020/11/09,ACTIVA,2021/03/19,2021,4.6903885,-74.0368177,"Cl. 110 #9B-04, Usaquén, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO SUBA SAN NICOLAS,BOGOTA,3189817,2019/11/13,ACTIVA,2021/03/19,2021,4.7385507,-74.0649174,"Cra. 59 # 152 - 49 local 202, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO NIZA,BOGOTA,2769487,2017/01/20,ACTIVA,2021/03/05,2021,4.6940624,-74.0564594,"Cra. 45 #106 - 15, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO SUBA HOSPITAL,BOGOTA,2947908,2018/04/17,ACTIVA,2021/03/19,2021,4.7542523,-74.0910055,"Ac. 153 #103B-10, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO SUBA LOS ARRAYANES,BOGOTA,3273832,2020/08/20,ACTIVA,2021/03/19,2021,4.733429699999999,-74.0860749,"Cra. 91 #134A-29, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO MUELLE,BOGOTA,3062476,2019/02/05,ACTIVA,2021/03/19,2021,4.6722888,-74.10031479999999,"Ac. 63 #110-10, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO CABECERA,BUCARAMANGA,9000471642,2020/09/21,ACTIVA,2021/03/17,2021,,,
MINIMERCADO JUSTO Y BUENO PUERTA DEL SOL,BUCARAMANGA,9000455402,2020/03/09,CANCELADA,2021/03/17,2021,,,
MINIMERCADO JUSTO Y BUENO HUMEDAL,BOGOTA,2875772,2017/10/02,CANCELADA,2019/03/21,2019,,,
SUPERMERCADO JUSTO Y BUENO ALTAMIRA HUILA,HUILA,334775,2019/12/09,ACTIVA,2021/03/26,2021,2.0639138,-75.78998469999999,"Altamira, Huila, Colombia"
SUPERMERCADO JUSTO Y BUENO PARQUE COMERCIAL BIMA,BOGOTA,3272345,2020/08/14,ACTIVA,2021/03/19,2021,4.8088106,-74.0393332,"Auto. Norte #232-35, Suba, Bogotá, Cundinamarca, Colombia"
