crime_index_eb1,crime_index_eb0,lb,ub,exp
-.98035181,.88612145,-2.717118,.75641429,-24
.18473241,2.2891023,-4.3018255,4.6712904,-23
8.476306,9.2010107,-9.5573435,26.509954,-22
-9.1246119,8.0231466,-24.849691,6.6004672,-21
8.1863575,6.4332309,-4.4225435,20.795258,-20
1.4990714,3.5906668,-5.5385065,8.5366488,-19
10.908083,11.616305,-11.859457,33.675625,-18
2.0414872,2.9263823,-3.6941166,7.777091,-17
10.661616,13.440633,-15.68154,37.004772,-16
-.028656757,2.958266,-5.8267517,5.7694383,-15
-6.098772,8.7085648,-23.167246,10.969701,-14
1.8257705,2.9151576,-3.8878334,7.5393744,-13
6.4227462,8.2593966,-9.7653732,22.610867,-12
-3.3021276,5.4685373,-14.020265,7.4160089,-11
-13.118139,9.2201023,-31.189207,4.9529295,-10
-10.052926,13.828214,-37.155727,17.049875,-9
-.46566206,3.329036,-6.9904528,6.0591288,-8
-1.4663986,4.2281928,-9.7535048,6.8207073,-7
1.1349005,2.4204056,-3.6090074,5.878808,-6
-5.2040505,5.8665318,-16.702242,6.2941403,-5
2.4198444,2.7536952,-2.977299,7.8169875,-4
-3.3765094,3.096307,-9.4451599,2.6921411,-3
4.434094,3.2575951,-1.9506754,10.818863,-2
0,0,0,0,-1
-1.1633339,3.3296194,-7.6892681,5.3626003,-1
-1.7311071,2.9230042,-7.4600897,3.9978757,0
-1.6808228,3.4589722,-8.4602833,5.0986381,1
-2.9835982,6.9695034,-16.643574,10.676377,2
-3.197113,9.3354282,-21.494217,15.099991,3
-2.3178248,11.293332,-24.452349,19.8167,4
-2.4666944,11.159628,-24.339165,19.405775,5
-6.9022045,12.801498,-31.992682,18.188272,6
-8.7838526,14.063224,-36.347263,18.77956,7
-9.647089,14.077404,-37.238293,17.944117,8
-10.612776,14.301026,-38.642273,17.416719,9
-16.368107,17.487988,-50.643936,17.907719,10
-15.029392,15.308493,-45.033485,14.974702,11
-21.256607,15.586571,-51.805725,9.2925091,12
-21.446358,15.379121,-51.588879,8.6961641,13
-28.994215,19.105968,-66.441223,8.452795,14
12.126238,49.773792,-85.428604,109.68108,15
16.606253,55.241451,-91.665001,124.8775,16
39.605038,70.044029,-97.678726,176.88881,17
-.69670689,3.9635053,-8.4650345,7.0716205,18
-1.2762241,4.2479997,-9.60215,7.0497022,19
.46811906,4.0326114,-7.4356542,8.3718929,20
.14250283,4.2260337,-8.1403713,8.4253769,21
-.59126306,4.2105374,-8.8437653,7.6612391,22
-1.7385604,4.3755002,-10.314383,6.8372622,23
-1.8967205,3.645843,-9.0424414,5.2490005,24
