female_index1,female_index0,lb,ub,exp
.11790616,1.2418529,-2.3160808,2.5518932,-24
2.089174,2.2613602,-2.3430102,6.5213585,-23
1.0258007,2.7492199,-4.3625712,6.4141726,-22
-2.5965521,2.6070223,-7.7062216,2.5131176,-21
1.5169246,2.0594826,-2.519587,5.5534363,-20
3.0893543,2.6093633,-2.024904,8.2036123,-19
-2.400388,3.9162755,-10.076147,5.2753711,-18
-1.1012685,2.7621076,-6.5149002,4.3123631,-17
-3.4570858,2.9740996,-9.2862139,2.3720424,-16
-.051711544,1.6441451,-3.2741768,3.1707537,-15
.074398696,1.9428794,-3.7335751,3.8823724,-14
.5946424,2.0079951,-3.340956,4.5302405,-13
-2.0797722,1.874843,-5.7543969,1.5948524,-12
.82911533,1.4588552,-2.0301881,3.6884189,-11
-4.242835,2.359128,-8.866641,.38097075,-10
2.6360116,2.8479145,-2.9457979,8.2178211,-9
-.67958194,2.2704146,-5.1295128,3.7703488,-8
4.2406888,4.5673132,-4.711081,13.192458,-7
2.1628242,2.3720858,-2.4863789,6.812027,-6
-2.8316538,4.2663245,-11.193496,5.5301881,-5
2.8806272,2.7756543,-2.5595553,8.3208094,-4
-3.8216226,2.7514288,-9.214324,1.5710788,-3
5.198844,4.7797899,-4.1693726,14.56706,-2
0,0,0,0,-1
-5.030232,5.4878893,-15.786297,5.7258329,-1
-4.8727255,5.3426223,-15.344073,5.5986214,0
-5.7381659,5.5645938,-16.644569,5.1682377,1
-7.0755653,7.5620246,-21.89686,7.7457304,2
-7.6020217,9.908474,-27.022274,11.818231,3
-7.5950665,11.1461,-29.441021,14.250888,4
-7.3899074,10.138618,-27.261232,12.481417,5
-10.128206,10.848397,-31.390675,11.134262,6
-12.404576,12.258928,-36.431633,11.622481,7
-11.721686,15.730866,-42.553619,19.110245,8
-15.681299,15.102832,-45.282307,13.919708,9
-21.099287,15.099326,-50.69342,8.4948473,10
-25.219751,19.443747,-63.328793,12.88929,11
-28.894253,19.722404,-67.549454,9.7609472,12
-30.480055,20.013832,-69.706444,8.7463341,13
-32.444134,20.242891,-72.119476,7.2312026,14
-26.066944,35.222931,-95.102623,42.968731,15
-21.695417,38.040054,-96.252556,52.861721,16
-22.878332,39.238884,-99.785133,54.028469,17
-38.998497,56.086071,-148.92517,70.928185,18
13.134344,53.303097,-91.337807,117.6065,19
20.812038,61.40406,-99.537704,141.16179,20
79.267929,125.68781,-167.07564,325.61151,21
1.8113595,1.9392768,-1.9895533,5.6122723,22
.76874709,1.8519362,-2.8609812,4.3984756,23
-.16118516,1.4316986,-2.9672627,2.6448925,24
