homicide_area_index1,homicide_area_index0,lb,ub,exp
.21130943,.14924325,-.081201963,.50382084,-24
-.18645246,.21315749,-.60423344,.23132855,-23
.21218148,.23106763,-.24070273,.66506571,-22
-.19781537,.24126573,-.6706875,.27505678,-21
-.33997095,.3345291,-.99563593,.31569403,-20
1.5216339,.66036594,.22734042,2.8159273,-19
-.5929848,.59047562,-1.7502958,.56432611,-18
-.41300258,.43818021,-1.2718201,.44581485,-17
-.16888911,.41218108,-.97674918,.63897097,-16
-.24221696,.27265581,-.77661252,.29217863,-15
.79202181,1.0689119,-1.3030071,2.8870506,-14
.43698835,.37258005,-.29325509,1.1672318,-13
-.17932943,.7101754,-1.5712476,1.2125887,-12
.40607631,.57909477,-.72892863,1.5410813,-11
-.94812357,.9871285,-2.8828599,.98661268,-10
.079735138,.36528838,-.63621694,.7956872,-9
-.20863803,.42694736,-1.0454395,.6281634,-8
.061983101,.47002575,-.85925049,.98321664,-7
.034749478,.35568407,-.66237849,.73187745,-6
-.38665462,.54122013,-1.4474266,.67411733,-5
.46505669,.43283784,-.38328984,1.3134032,-4
-.86803335,.68196911,-2.2046683,.46860155,-3
.032799229,.46871138,-.88585818,.95145667,-2
.405541,.33974105,-.2603392,1.0714213,-1
0,0,0,0,-1
-.2723794,.39026076,-1.0372764,.49251762,0
-.012336644,.39036161,-.77743131,.75275803,1
.96197748,.98168719,-.96209407,2.886049,2
.51386833,.73704058,-.93070465,1.9584414,3
.13936384,.62318927,-1.0820646,1.3607923,4
.56192648,.85858893,-1.1208769,2.24473,5
.32699242,.49645001,-.64603174,1.3000165,6
-.094911911,.86337703,-1.7870997,1.597276,7
-.26260236,.77830452,-1.7880512,1.2628465,8
-.37732083,1.0723487,-2.4790857,1.724444,9
-.53295231,1.8731774,-4.2043123,3.1384077,10
-1.0540892,2.0782025,-5.1272912,3.0191128,11
-1.0609634,2.2523465,-5.4754815,3.3535545,12
-2.7489841,4.2319217,-11.043399,5.5454307,13
-1.4331856,2.6251192,-6.5783248,3.7119534,14
-.060329422,1.896549,-3.7774971,3.6568382,15
.1320799,2.3909018,-4.5540013,4.818161,16
-3.0876715,5.6994729,-14.258433,8.0830898,17
-.47134367,.33979598,-1.1373315,.1946442,18
.1530636,.30450833,-.4437618,.74988902,19
.15176249,.40587589,-.64373964,.94726461,20
-.37491164,.71123666,-1.7689098,1.0190866,21
-.37599066,1.2036918,-2.7351832,1.9832019,22
.11589635,.4525789,-.77114201,1.0029347,23
-.51126355,1.3998876,-3.2549927,2.2324657,24
