homicide_log_index1,homicide_log_index0,lb,ub,exp
.16000462,.094407149,-.02503,.34503922,-24
-.1259964,.097625464,-.31733879,.065346003,-23
.012432712,.052077651,-.089637607,.11450303,-22
-.07953503,.069286808,-.21533468,.056264624,-21
-.020851079,.11462461,-.24551119,.20380904,-20
.22533642,.12899892,-.027496802,.47816965,-19
.035959855,.11860196,-.19649573,.26841542,-18
-.12753738,.10190961,-.32727653,.072201781,-17
-.016775874,.089420982,-.19203778,.15848604,-16
.040980291,.087197751,-.12992416,.21188474,-15
-.090860903,.11215527,-.31068119,.12895937,-14
.04407452,.076569863,-.10599965,.19414869,-13
.048470404,.10225973,-.15195498,.24889579,-12
-.053653669,.094474986,-.23882124,.13151391,-11
.0070929807,.053988263,-.09872207,.11290804,-10
-.048976917,.060322337,-.16720653,.069252685,-9
.06790226,.057824187,-.045431066,.18123558,-8
-.014551233,.10227498,-.21500652,.18590406,-7
.011496677,.085427649,-.15593843,.17893179,-6
-.070125058,.077004828,-.22105175,.080801629,-5
.11678052,.07361047,-.027493354,.2610544,-4
-.077662975,.041349914,-.15870732,.0033813652,-3
.040626962,.10006866,-.155504,.23675793,-2
.065213904,.078652926,-.08894299,.2193708,-1
0,0,0,0,-1
-.046563305,.069175325,-.18214445,.089017838,0
.0099735893,.064963885,-.11735329,.13730048,1
.055405371,.05468756,-.051780276,.16259101,2
.16338708,.11149466,-.055138431,.38191259,3
.060073242,.095879436,-.127847,.24799348,4
.092965484,.090068489,-.083565511,.26949647,5
.060878728,.082314134,-.10045401,.22221147,6
-.02520032,.073773712,-.16979414,.1193935,7
-.018919645,.063112117,-.14261712,.10477784,8
-.022018988,.069817521,-.15885881,.11482084,9
.094468869,.12406372,-.14869156,.33762929,10
.062418628,.090904206,-.11575035,.24058761,11
-.0095776031,.089589074,-.18516895,.16601375,12
.020018866,.11888973,-.21300073,.25303847,13
.11220397,.13049529,-.14356209,.36797005,14
.31614333,.22401036,-.12290891,.75519556,15
.19571163,.30087355,-.39398971,.78541297,16
.13961518,.26689106,-.38348165,.66271204,17
.0030038611,.11569626,-.22375664,.22976437,18
.0067916811,.071170449,-.13269985,.14628321,19
.077065662,.16158323,-.23963165,.39376298,20
-.021433245,.16244298,-.33981565,.29694915,21
.0084521929,.090960234,-.1698266,.18673098,22
.014513131,.10820983,-.19757424,.22660051,23
.081715867,.087765299,-.090300962,.25373268,24
