male_index1,male_index0,lb,ub,exp
3.6705647,2.1037533,-.45271611,7.7938457,-24
1.3020922,3.6569173,-5.865334,8.4695187,-23
.33755454,4.0156298,-7.5329347,8.2080441,-22
-3.1937537,4.3250651,-11.670726,5.2832179,-21
1.3423374,2.597615,-3.7488945,6.4335694,-20
4.5421772,2.9806182,-1.2997274,10.384082,-19
-5.1129827,5.393712,-15.684464,5.4584985,-18
-1.1958671,3.9109218,-8.8611326,6.469399,-17
-5.6203208,3.6696758,-12.812753,1.5721116,-16
.032235824,2.6182137,-5.099369,5.1638403,-15
.61963886,2.1625366,-3.6188552,4.8581328,-14
-.9942525,2.6292708,-6.1475286,4.1590238,-13
-.62427306,2.2911589,-5.114862,3.8663158,-12
-1.2435894,2.6342413,-6.4066076,3.9194288,-11
-1.8920625,2.5101953,-6.8119545,3.0278296,-10
.053570513,1.9512202,-3.7707508,3.8778918,-9
1.0373132,2.6158981,-4.0897527,6.1643791,-8
.28698453,2.0836205,-3.7968366,4.3708057,-7
-.99246162,2.2720242,-5.4455471,3.4606237,-6
2.2537956,3.4730835,-4.5533228,9.060914,-5
1.2998434,2.5925319,-3.7814255,6.3811126,-4
-2.8795536,2.983943,-8.7279749,2.9688673,-3
3.1095164,3.0995693,-2.9655278,9.1845608,-2
0,0,0,0,-1
-1.1946069,2.7782495,-6.6398759,4.2506623,-1
-.42184874,2.3973689,-5.1206055,4.2769079,0
.18851683,2.8138087,-5.3264465,5.7034802,1
-2.4225643,5.8175921,-13.824836,8.9797068,2
-2.7643142,7.2976251,-17.067396,11.538769,3
-2.8378491,7.7597771,-18.046732,12.371035,4
-3.3736274,7.902699,-18.862633,12.115378,5
-5.5075059,8.528203,-22.222475,11.207464,6
-7.3322177,9.9034624,-26.742647,12.078211,7
-5.1596327,11.747078,-28.183481,17.864216,8
-8.3235435,11.280278,-30.432484,13.785396,9
-11.629141,12.076262,-35.29818,12.039899,10
-9.3738432,13.491561,-35.816814,17.06913,11
-16.629557,14.194397,-44.450066,11.19095,12
-16.034895,13.912837,-43.303555,11.233766,13
-19.856556,15.404205,-50.048244,10.335134,14
-9.3564386,28.017942,-64.270599,45.55772,15
-7.0974526,29.116884,-64.165497,49.970592,16
-11.644856,31.648994,-73.675743,50.386032,17
-22.015099,44.733685,-109.69151,65.661308,18
10.966877,53.077335,-93.06279,114.99654,19
19.48863,65.034821,-107.97728,146.95454,20
70.93869,132.70273,-189.15388,331.03125,21
-5.2669253,5.661911,-16.364067,5.8302164,22
-7.0909634,6.0593553,-18.967081,4.7851548,23
-4.9951677,5.8292127,-16.420214,6.4298792,24
