sexual_area_index1,sexual_area_index0,lb,ub,exp
-.42672548,.57622647,-1.5561086,.70265764,-24
.28846964,.56456047,-.81804854,1.3949878,-23
.3466635,.52625996,-.68478698,1.378114,-22
.14385425,.61523002,-1.0619745,1.3496829,-21
.07695096,1.030668,-1.9431211,2.097023,-20
-1.335878,1.0481471,-3.3902085,.71845245,-19
.2428575,.78361177,-1.2929933,1.7787083,-18
-.73215759,.87394053,-2.4450495,.98073435,-17
-.28813326,1.0287998,-2.3045437,1.7282772,-16
1.2124141,2.1143417,-2.9316194,5.3564477,-15
-2.3355978,2.6271169,-7.484652,2.8134565,-14
1.2835386,1.3561616,-1.3744893,3.9415665,-13
-.40215048,.92937303,-2.2236881,1.4193872,-12
-.77298093,.9879992,-2.7094238,1.1634619,-11
-.16735269,.85891652,-1.8507981,1.5160928,-10
1.1378704,1.0831329,-.98503113,3.260772,-9
-1.6262408,1.7120417,-4.981781,1.7292993,-8
1.0486065,1.2098269,-1.3226109,3.4198236,-7
.084907986,.5104267,-.91551,1.085326,-6
-1.0428128,.93891239,-2.8830473,.79742163,-5
-.13631375,.85818219,-1.8183199,1.5456924,-4
-.19401027,1.2366202,-2.6177413,2.2297208,-3
-1.1659554,1.8069031,-4.7074203,2.3755097,-2
0,0,0,0,-1
-.081395514,1.5200256,-3.060591,2.8977997,-1
.6869722,.98303312,-1.2397373,2.6136818,0
-.64834601,1.3589448,-3.3118289,2.0151367,1
-1.2695192,2.6566927,-6.4765415,3.9375029,2
.1355914,1.7497196,-3.2937961,3.5649788,3
.77651811,2.0944397,-3.3285084,4.8815446,4
-.29897213,1.9402497,-4.1017914,3.5038474,5
1.9632038,1.866069,-1.6942242,5.6206317,6
.25271726,1.7676014,-3.2117178,3.7171524,7
1.2376504,1.4691914,-1.6419121,4.1172128,8
1.7941608,1.9727261,-2.0723114,5.6606331,9
3.3244646,2.2073793,-1.0019196,7.6508489,10
1.3830338,2.5095439,-3.5355818,6.3016491,11
-.35608336,4.0269012,-8.2486639,7.5364976,12
1.4579039,4.2689257,-6.9090371,9.8248444,13
.2084759,6.0151629,-11.581026,11.997978,14
5.7201328,6.1438346,-6.3215618,17.761827,15
5.1255941,6.6465325,-7.9013705,18.152559,16
.073927,7.0868254,-13.815995,13.963849,17
-3.5847161,4.104208,-11.628816,4.4593835,18
-4.403295,4.0996943,-12.438548,3.6319582,19
-2.5395844,3.3220949,-9.0507708,3.971602,20
.86540306,1.5896548,-2.250263,3.9810691,21
2.5530703,.56134915,1.4528462,3.6532943,22
1.4414535,1.6305841,-1.7544328,4.6373396,23
.60734224,2.3441381,-3.9870842,5.2017684,24
