sexual_index_eb1,sexual_index_eb0,lb,ub,exp
-.28575435,.4204815,-1.109883,.53837425,-24
.14638256,.19472636,-.23527411,.52803922,-23
.016270908,.20210579,-.37984914,.41239098,-22
-.3900997,.12152421,-.62828279,-.15191664,-21
.35474586,.3030608,-.23924239,.9487341,-20
-.70374674,.56695694,-1.8149619,.40746847,-19
.31536913,.24699888,-.16873977,.79947805,-18
.52813339,.43890175,-.33209822,1.388365,-17
1.477194,1.8642095,-2.1765897,5.1309776,-16
-.0040167854,.27389774,-.54084647,.53281289,-15
-2.2812231,2.499609,-7.1803665,2.6179206,-14
-.22098237,.43243164,-1.0685328,.62656808,-13
3.1361723,2.4184587,-1.6039197,7.8762641,-12
-1.2936834,1.5346285,-4.3015003,1.7141333,-11
-.76025963,1.6381838,-3.9710407,2.4505217,-10
-.071933091,.89089,-1.8180455,1.6741793,-9
-.7944417,.8859691,-2.5309093,.94202584,-8
.56419307,.64190155,-.69391084,1.822297,-7
.24851821,.46923158,-.67115879,1.1681952,-6
-1.4702251,.93078452,-3.2945292,.3540791,-5
.24411766,.5519433,-.8376714,1.3259068,-4
-.64015663,.80562735,-2.2191572,.93884397,-3
-.22761452,.79354537,-1.7829348,1.3277057,-2
0,0,0,0,-1
.6834051,.53227842,-.35984141,1.7266517,-1
.49786818,.55825913,-.59629959,1.592036,0
-.58542842,.50839138,-1.5818572,.41100034,1
.15552342,.40117267,-.63076055,.94180739,2
.12832671,.5572384,-.96384054,1.2204939,3
.50286978,.47860909,-.43518677,1.4409263,4
.11498551,.46181464,-.79015458,1.0201256,5
.25241673,.56459886,-.85417664,1.3590101,6
-.093772091,.64508682,-1.358119,1.1705748,7
-.16439383,.63958901,-1.4179653,1.0891776,8
.168088,.58834481,-.98504663,1.3212227,9
.45854673,.55298847,-.62529075,1.5423841,10
-.28294328,.78641003,-1.8242787,1.2583921,11
-.3129676,.69611812,-1.6773341,1.0513988,12
.40618795,.6597898,-.88697636,1.6993523,13
-.54904342,.44932893,-1.4297119,.3316251,14
-.077988602,.58056545,-1.215876,1.0598987,15
-.17319953,.47529894,-1.1047683,.75836927,16
-.58236301,.59885353,-1.7560943,.59136832,17
-.78635609,.62944102,-2.0200379,.44732565,18
-.83466363,.53267205,-1.8786817,.2093544,19
.059295077,.30506366,-.53861874,.65720892,20
.15828437,.21333082,-.25983638,.57640511,21
.94157958,.19173776,.56578052,1.3173786,22
-.040822059,.40327445,-.83122545,.74958134,23
-.50888014,.47052264,-1.4310876,.41332728,24
