sexual_log_index1,sexual_log_index0,lb,ub,exp
-.10432956,.10535935,-.31083006,.10217097,-24
.042060185,.087494433,-.12942576,.21354613,-23
-.029612675,.095213331,-.21622738,.15700203,-22
-.14463331,.168102,-.47410718,.18484055,-21
.092256546,.11318332,-.12957868,.31409177,-20
-.24257123,.12746011,-.49238843,.0072459877,-19
.24404937,.10894443,.030522211,.45757654,-18
-.10745195,.10324977,-.30981776,.094913885,-17
.0073565179,.13849802,-.26409462,.27880764,-16
.063398778,.090185553,-.11336166,.2401592,-15
-.13027719,.16105786,-.44594482,.18539043,-14
.11355234,.12121569,-.12402605,.35113072,-13
.078276515,.13848393,-.19314699,.34970003,-12
-.074055344,.092103742,-.25457537,.10646468,-11
-.13013004,.18446521,-.49167523,.23141515,-10
.096671529,.12198091,-.14240666,.33574972,-9
-.12700745,.12753761,-.37697658,.12296166,-8
.083690889,.10107071,-.11440407,.28178585,-7
.095087729,.13069458,-.16106895,.35124442,-6
-.18232615,.14381552,-.46419939,.099547088,-5
.1019154,.13277379,-.15831643,.36214721,-4
-.16930863,.15435606,-.47184095,.1332237,-3
-.0073370812,.16711141,-.33486941,.32019526,-2
.094918288,.087628715,-.076830834,.26666743,-1
0,0,0,0,-1
.033905491,.089754164,-.14200944,.20982042,0
-.099930063,.10100836,-.29790279,.098042667,1
-.13776611,.14902823,-.42985606,.15432383,2
-.11112449,.13762771,-.38086984,.15862086,3
.060539305,.16928533,-.27125385,.39233246,4
-.09831395,.13810796,-.36900058,.17237267,5
.086663105,.11066909,-.13024433,.30357054,6
-.0034837448,.1420441,-.28188506,.27491757,7
.023509247,.17465813,-.3188144,.3658329,8
.094762266,.11470503,-.13005547,.31958002,9
.19366629,.1312229,-.06352587,.45085847,10
-.09451659,.19407661,-.47489977,.28586659,11
-.19923298,.22604321,-.64226955,.24380358,12
-.053634502,.21722724,-.47939208,.37212306,13
-.12498661,.31587225,-.74408484,.49411163,14
.027797332,.2305766,-.42412451,.47971919,15
-.058016837,.23186176,-.51245755,.39642385,16
-.29671368,.33923301,-.96159816,.36817083,17
-.045453742,.29248515,-.61871409,.52780664,18
-.10433146,.1682481,-.43409169,.22542875,19
.25484204,.19861767,-.13444145,.64412552,20
.37448916,.20817737,-.033531006,.78250933,21
.43991324,.18784934,.07173527,.80809116,22
.38606927,.19988041,-.0056891232,.77782762,23
.33632442,.21060038,-.076444723,.74909359,24
