theft_to_motorbike_area_index1,theft_to_motorbike_area_index0,lb,ub,exp
-.14455707,.30466953,-.74169838,.45258421,-24
.68404138,.44408056,-.1863405,1.5544233,-23
-.51385266,.58366972,-1.6578243,.63011897,-22
.14214277,.3165313,-.4782472,.76253271,-21
-.49319425,.55141896,-1.5739557,.58756709,-20
.332726,.38842732,-.42857757,1.0940295,-19
.3074871,.4592275,-.59258229,1.2075565,-18
-.92978489,.87012839,-2.6352053,.77563542,-17
-.96018523,.72504216,-2.3812418,.46087125,-16
.46465719,1.0625154,-1.6178348,2.5471492,-15
.22168715,.70280051,-1.1557765,1.5991508,-14
.9884609,1.0088179,-.98878598,2.9657078,-13
.059264746,.62021345,-1.1563312,1.2748607,-12
-.11209472,.51619935,-1.1238269,.89963746,-11
-.31782302,.43924129,-1.1787201,.54307407,-10
-.068887107,.33994904,-.73517501,.59740078,-9
.026155835,.64013052,-1.228477,1.2807887,-8
.32373065,.45707494,-.57211971,1.219581,-7
.21189234,.67175025,-1.1047139,1.5284986,-6
-.23510322,.6553266,-1.5195198,1.0493133,-5
-.11763699,.63137394,-1.3551072,1.1198332,-4
.14309922,.8077848,-1.4401299,1.7263283,-3
-.17993352,.79434985,-1.7368306,1.3769636,-2
0,0,0,0,-1
.079904377,.60698658,-1.1097674,1.2695762,-1
.27469999,.39005268,-.48978919,1.0391892,0
.2105128,.48870075,-.7473231,1.1683487,1
.28212017,.65851581,-1.0085471,1.5727874,2
.36725658,.9803496,-1.5541934,2.2887065,3
.21571964,.84689659,-1.4441671,1.8756064,4
.56484836,.88186747,-1.1635802,2.2932768,5
.29538649,.80131155,-1.2751553,1.8659283,6
.036375571,.94058567,-1.8071384,1.8798896,7
-.08400169,.80326551,-1.6583731,1.4903698,8
.46372971,.84862024,-1.1995355,2.1269948,9
.93275827,1.1350131,-1.2918266,3.1573431,10
1.6876694,1.0381895,-.34714454,3.7224834,11
.6830821,1.1280564,-1.5278678,2.894032,12
-.2427993,1.7387863,-3.650758,3.1651595,13
-.20842205,2.4446056,-4.9997611,4.5829172,14
-5.6213522,11.880401,-28.906509,17.663805,15
-7.8736315,13.327991,-33.996014,18.248751,16
-14.774781,20.225365,-54.415768,24.866203,17
.83140546,1.1344659,-1.392107,3.0549178,18
-.91308272,.57496673,-2.0399969,.21383142,19
.0022393623,.84369332,-1.6513691,1.6558479,20
-1.0788969,.92592162,-2.8936698,.73587626,21
-.24449208,.71794605,-1.6516404,1.1626563,22
.64401835,.84186268,-1.0060022,2.294039,23
2.1516829,.34864908,1.4683433,2.8350227,24
