theft_to_motorbike_index1,theft_to_motorbike_index0,lb,ub,exp
-.40669468,.36414206,-1.1204,.30701062,-24
1.0098616,.57881725,-.12459933,2.1443226,-23
-.49852681,.40187019,-1.2861779,.28912431,-22
-.13914132,.58739483,-1.290414,1.0121313,-21
.14282462,.65875506,-1.1483116,1.4339608,-20
.50355273,.34036127,-.16354308,1.1706486,-19
-.28584078,.33966166,-.95156544,.37988386,-18
.095659316,.40862703,-.70523494,.89655358,-17
-.10005902,.45237395,-.98669571,.78657764,-16
-.17374873,.49429563,-1.1425503,.79505289,-15
.69069797,.41849488,-.12953694,1.5109329,-14
-.44701242,.47308922,-1.3742503,.48022538,-13
.71337664,.73750138,-.73209947,2.1588528,-12
-.77773786,.78187108,-2.3101771,.75470126,-11
.0042634741,.32866731,-.63991261,.64843959,-10
.13166191,.39001432,-.63275212,.8960759,-9
-.26785612,.39777613,-1.047483,.51177073,-8
.57549053,.33290905,-.076999225,1.2279803,-7
-.36331782,.30033273,-.95195919,.22532353,-6
.32497665,.32229438,-.30670872,.956662,-5
.27369702,.35214186,-.41648832,.96388239,-4
-.51745307,.51788157,-1.5324823,.49757615,-3
.12746319,.31729966,-.49443275,.74935913,-2
.13281968,.27849457,-.41301963,.67865902,-1
0,0,0,0,-1
.21404369,.34552079,-.46316463,.89125204,0
-.10462132,.32635966,-.7442745,.53503186,1
-.03417151,.33194762,-.6847769,.61643386,2
-.026698843,.47274816,-.95326817,.89987051,3
-.11468934,.4777073,-1.0509784,.82159978,4
.1471907,.4082588,-.65298188,.94736326,5
-.20639546,.42933026,-1.0478673,.6350764,6
.07188037,.37780836,-.66861039,.81237119,7
-.078930773,.44498894,-.95109302,.79323149,8
.053635489,.42840049,-.78601402,.89328504,9
.31777933,.41927484,-.50398421,1.1395429,10
.66645586,.49247256,-.29877263,1.6316843,11
-.36935523,.54426634,-1.4360976,.69738716,12
.35603473,.57444668,-.76986009,1.4819295,13
.32214755,.64364088,-.93936533,1.5836605,14
-1.7092195,3.1537616,-7.8904786,4.4720397,15
-3.0880837,6.0573187,-14.96021,8.7840424,16
-5.6154084,7.8535213,-21.008028,9.7772112,17
.38965356,.53061408,-.6503309,1.429638,18
.037415698,.4751074,-.89377773,.96860909,19
.29773167,.53061759,-.74225968,1.337723,20
.074484617,.51941836,-.94355673,1.092526,21
.50785774,.61738044,-.70218575,1.7179012,22
.12983388,.28734401,-.43335006,.69301784,23
1.2592529,.3188718,.63427567,1.8842301,24
