theft_to_motorbike_index_eb1,theft_to_motorbike_index_eb0,lb,ub,exp
-.00079971587,.16778797,-.32965809,.32805866,-24
.31063536,.27308446,-.22460034,.84587103,-23
-.18177348,.20009381,-.57395011,.21040316,-22
.16910209,.21575314,-.2537663,.59197044,-21
-.30322209,.2845239,-.86087871,.25443453,-20
.30637392,.15719469,-.001721994,.61446983,-19
-.094374426,.17847723,-.44418338,.25543451,-18
.14251179,.23878923,-.32550651,.61053008,-17
.14786819,.27186456,-.3849766,.68071294,-16
-.12697272,.26606858,-.64845753,.39451209,-15
.33414653,.28414661,-.22277057,.89106363,-14
-.073051833,.37050644,-.79923111,.65312743,-13
.15212147,.36090031,-.55523014,.85947311,-12
-.066487342,.34150773,-.73583025,.60285556,-11
-.15722544,.20804071,-.56497777,.25052685,-10
-.051387493,.15682508,-.35875899,.25598401,-9
-.12790279,.22464822,-.56820518,.31239963,-8
.35458666,.21150446,-.059954479,.76912779,-7
-.25722888,.18508512,-.61998904,.10553126,-6
.28341562,.24302897,-.19291241,.75974363,-5
.27083072,.27857065,-.27515775,.81681919,-4
-.44329011,.39559075,-1.2186338,.33205354,-3
.18949513,.27026728,-.34021899,.71920925,-2
0,0,0,0,-1
-.12242283,.20528798,-.52477986,.27993423,-1
.25655285,.24846914,-.23043773,.74354339,0
-.14342725,.24789523,-.62929296,.34243846,1
.070186332,.26303208,-.44534707,.5857197,2
-.12377687,.32943824,-.76946396,.52191025,3
-.14648643,.33213136,-.79745191,.50447905,4
.11300328,.3291536,-.53212595,.75813252,5
-.067029737,.27535969,-.6067248,.47266534,6
.028068827,.32407436,-.60710526,.66324294,7
.0010937247,.31994873,-.62599427,.6281817,8
.049493138,.33040258,-.59808397,.6970703,9
.40561044,.369369,-.3183395,1.1295604,10
.58890986,.48433766,-.36037451,1.5381942,11
-.083794795,.36734289,-.80377364,.63618404,12
-.23864114,.44104421,-1.1030719,.62578964,13
.15542954,.35508245,-.54051924,.85137838,14
.22906099,.23404939,-.2296674,.68778938,15
-.25558835,.21365227,-.67433912,.16316241,16
-.054691814,.14282489,-.33462346,.22523983,17
.26207051,.36889106,-.46094266,.9850837,18
-.031272143,.27263063,-.56561834,.50307405,19
.12145922,.39665443,-.65596914,.89888757,20
.046273161,.12284005,-.1944889,.28703523,21
.05711199,.073811859,-.087556601,.20178059,22
.33284497,.085067496,.16611573,.49957418,23
.85153979,.091458015,.67228538,1.0307941,24
