theft_to_people_area_index1,theft_to_people_area_index0,lb,ub,exp
3.8883784,.97195596,1.9833796,5.7933769,-14
1.408578,2.3641572,-3.225085,6.0422411,-13
3.7021101,2.6261201,-1.4449909,8.8492107,-12
.45759979,3.1843493,-5.7836103,6.6988096,-11
-.23297963,1.9680014,-4.0901914,3.6242323,-10
-2.3460269,.82987267,-3.9725473,-.71950632,-9
4.6383381,1.9444582,.82726991,8.4494057,-8
-6.4158154,5.8159447,-17.814857,4.9832273,-7
-.80187356,2.9051523,-6.4958677,4.8921204,-6
5.9577761,5.6447711,-5.105772,17.021324,-5
4.9587526,5.1735601,-5.1812391,15.098744,-4
1.0046612,5.8145046,-10.391559,12.400882,-3
4.1789427,7.9109602,-11.326255,19.684139,-2
-4.2094383,4.497468,-13.024313,4.6054368,-1
0,0,0,0,-1
3.1463475,2.2966878,-1.3550779,7.6477733,0
6.4141226,3.4209509,-.2908183,13.119063,1
2.1701729,4.7142639,-7.0696149,11.409961,2
8.3270998,6.8236575,-5.0470238,21.701223,3
19.45857,11.867809,-3.8019078,42.719051,4
21.498983,12.671384,-3.3364725,46.334438,5
14.242261,11.760681,-8.8082495,37.29277,6
16.489567,15.513721,-13.91677,46.895901,7
18.085215,16.58617,-14.423083,50.593513,8
-13.81807,4.5982394,-22.830454,-4.8056865,9
-11.437391,3.6802168,-18.650484,-4.2242994,10
4.4452267,15.847689,-26.615671,35.506126,11
5.5916958,16.581697,-26.907833,38.091225,12
-12.310393,4.3640571,-20.863789,-3.7569995,13
