theft_to_people_index1,theft_to_people_index0,lb,ub,exp
3.6345751,.8273471,2.0130045,5.2561455,-14
1.0692595,1.332127,-1.5416614,3.6801805,-13
2.3467553,1.6895672,-.96473563,5.6582465,-12
1.3824269,2.7841587,-4.0744238,6.8392777,-11
-1.9320889,3.2168682,-8.2370348,4.3728566,-10
-1.4568908,2.1505115,-5.6718159,2.7580342,-9
3.4022498,3.0834777,-2.6412556,9.445755,-8
-1.7986392,6.2916427,-14.130033,10.532754,-7
-3.3537385,3.7160382,-10.637039,3.9295623,-6
.7726754,8.7658815,-16.408138,17.953487,-5
2.2150986,7.4720068,-12.429766,16.859962,-4
-5.3076501,8.6476307,-22.256695,11.641395,-3
7.0414667,9.2907515,-11.168072,25.251005,-2
0,0,0,0,-1
-4.5566635,7.0350542,-18.345118,9.2317896,-1
2.6748593,1.8088851,-.87049037,6.2202086,0
2.7975259,1.9552164,-1.0346279,6.6296797,1
-1.0838639,3.374609,-7.6979761,5.5302486,2
1.3061143,5.8781028,-10.214755,12.826983,3
6.2011728,7.4241962,-8.3499851,20.752331,4
2.6378636,6.8652925,-10.817863,16.09359,5
1.6024421,7.8001494,-13.68557,16.890453,6
-.71127331,10.648656,-21.582254,20.159708,7
-.99412704,16.636353,-33.60078,31.612526,8
-33.352734,7.6135707,-48.275059,-18.430408,9
-34.956509,7.8247094,-50.292656,-19.620359,10
-8.8921614,17.689863,-43.563656,25.779333,11
-9.9890928,18.900028,-47.032467,27.054279,12
-31.277346,9.7887659,-50.462975,-12.091718,13
