theft_to_people_log_index1,theft_to_people_log_index0,lb,ub,exp
.017467255,.054109376,-.088585176,.12351969,-24
-.022341955,.072850578,-.16512647,.12044255,-23
-.020224646,.07002756,-.15747614,.11702685,-22
-.050764561,.060124416,-.16860625,.06707713,-21
.077640347,.070611648,-.060755935,.21603663,-20
.012540489,.055959504,-.097138122,.1222191,-19
.046139874,.069127575,-.089347675,.18162742,-18
.039806671,.042160157,-.042825721,.12243906,-17
.014573916,.057187151,-.097510844,.12665868,-16
.0016693285,.050522789,-.097353518,.10069218,-15
.022998633,.049745101,-.074499972,.12049724,-14
.034714922,.047327053,-.0580444,.12747425,-13
-.026224965,.043057233,-.11061559,.058165662,-12
.053483628,.048799105,-.042160861,.14912811,-11
.014234651,.044665165,-.073307462,.10177676,-10
-.045192793,.043634098,-.13071406,.040328469,-9
-.029553074,.058006454,-.14324364,.084137492,-8
-.048794013,.065626182,-.17741896,.079830937,-7
.018187363,.063462727,-.10619731,.14257203,-6
.088759176,.056685477,-.022342317,.19986068,-5
-.054171193,.0639522,-.1795152,.071172819,-4
-.068440691,.067943051,-.20160662,.06472525,-3
.17995593,.090529509,.0025213598,.35739052,-2
0,0,0,0,-1
.0095421243,.083305687,-.15373403,.17281827,-1
-.063560732,.057747096,-.17674296,.049621496,0
.020218318,.069735833,-.1164614,.15689804,1
.0032097697,.085114837,-.16361225,.17003179,2
-.071582615,.081391826,-.23110767,.087942444,3
.069534644,.11689964,-.15958443,.29865372,4
.10242609,.11726421,-.12740754,.33225971,5
-.030227585,.20166861,-.4254908,.36503562,6
-.00049476646,.18732609,-.36764714,.36665761,7
-.052130371,.14482293,-.33597806,.23171733,8
-.13082451,.19128792,-.50574195,.24409291,9
-.1535719,.20554747,-.55643755,.24929374,10
.039199609,.19487572,-.34274977,.42114899,11
-.080828667,.14810134,-.37110198,.20944463,12
-.12217082,.18181272,-.4785172,.23417555,13
.077534638,.22384959,-.36120251,.51627177,14
-.15697929,.41349602,-.96741658,.653458,15
-.16278988,.33503833,-.81945294,.49387321,16
.40171495,.49391055,-.56633198,1.3697618,17
-.30833745,.16234401,-.62652588,.0098509379,18
.15422545,.12264704,-.08615832,.39460924,19
.13464123,.11935387,-.099288046,.36857051,20
.0077846744,.19328877,-.37105438,.38662371,21
.024259562,.20975727,-.38685712,.43537626,22
-.16307768,.20229995,-.5595783,.23342294,23
-.1340261,.18974324,-.505916,.23786381,24
