theft_to_vehicle_index1,theft_to_vehicle_index0,lb,ub,exp
-.063342318,.16473016,-.38620749,.25952286,-24
.43290129,.33922175,-.23196112,1.0977637,-23
-.52520317,.43728247,-1.382261,.3318547,-22
.59537435,.58531684,-.55182558,1.7425742,-21
.18654884,.42841139,-.65312207,1.0262197,-20
.64511293,.33967388,-.020635616,1.3108615,-19
-.39024657,.68960202,-1.7418417,.96134859,-18
-.29993153,.35002109,-.98596025,.38609719,-17
.65615058,.63588667,-.59016436,1.9024655,-16
.16123028,.27073345,-.36939749,.69185805,-15
-1.1979162,.99871594,-3.1553633,.75953108,-14
.029908743,.43117526,-.81517923,.87499672,-13
.41801542,.40791705,-.38148731,1.2175181,-12
-.54168743,.44125378,-1.4065289,.32315409,-11
-.19891587,.51466978,-1.2076501,.80981833,-10
.3528865,.53097808,-.68781143,1.3935844,-9
.3488408,.37836358,-.39273816,1.0904198,-8
-.3847937,.48667905,-1.3386672,.5690797,-7
-.12597513,.28463584,-.68385112,.43190086,-6
.17789946,.43364021,-.67201972,1.0278187,-5
.30550089,.38957316,-.45804846,1.0690502,-4
-.027250478,.38482866,-.78150082,.72699982,-3
-.23819651,.40222934,-1.0265515,.55015856,-2
0,0,0,0,-1
-.23899147,.28121889,-.79017037,.31218743,-1
-.020725317,.21954259,-.4510209,.40957025,0
.36676791,.29451761,-.21047598,.94401181,1
-.030372722,.24299222,-.50662875,.44588327,2
-.057374556,.25220588,-.55168903,.4369399,3
.067478046,.31465381,-.54923207,.68418819,4
.3460817,.38375002,-.40605453,1.098218,5
.071673639,.30742779,-.53087378,.67422104,6
.22290555,.4778527,-.71366853,1.1594796,7
-.18948446,.25883079,-.69678348,.31781456,8
-.093792312,.26500335,-.61318934,.4256047,9
.3317402,.42025852,-.49195141,1.1554317,10
.32119799,.34380049,-.35263857,.99503458,11
.10701401,.50430828,-.88141203,1.09544,12
.52871108,.47173005,-.39586285,1.453285,13
-.0049115666,.51322711,-1.0108182,1.0009952,14
-.92767704,1.9467169,-4.7431722,2.8878179,15
-1.1986108,2.9144199,-6.9107685,4.5135469,16
-.91569084,2.6614189,-6.1319757,4.3005943,17
-.055491831,.31211138,-.66721892,.55623525,18
-.17482817,.2082907,-.58307046,.23341408,19
-.19833991,.25063276,-.68957108,.29289126,20
.10024342,.25935274,-.40807861,.60856545,21
.15552208,.17691691,-.19122869,.50227284,22
.0037180015,.18240613,-.35379145,.36122742,23
-.59637874,.30111149,-1.1865464,-.0062110359,24
