theft_to_vehicle_index_eb1,theft_to_vehicle_index_eb0,lb,ub,exp
-.041220736,.14252429,-.3205632,.23812173,-24
.30108315,.23844901,-.16626832,.76843464,-23
-.33929166,.19438572,-.72028065,.041697331,-22
.24288425,.25603175,-.25892875,.74469727,-21
-.0028819831,.16742466,-.33102828,.3252643,-20
.44860804,.19544461,.065543637,.83167243,-19
-.12079258,.28967956,-.68855405,.44696891,-18
-.37304124,.19042617,-.7462697,.00018719463,-17
.24939322,.22443452,-.19049038,.68927681,-16
.24044909,.20514844,-.16163446,.64253265,-15
-.44316158,.37004337,-1.1684332,.28211007,-14
.007550098,.32943314,-.63812697,.65322715,-13
.20530467,.26957178,-.32304633,.73365563,-12
-.29313374,.20625947,-.69739491,.1111274,-11
.012363766,.26152077,-.50020754,.52493507,-10
.12154041,.35367915,-.57165802,.81473881,-9
.19510731,.25332305,-.30139676,.69161135,-8
-.057274591,.23823258,-.52420187,.40965268,-7
-.087230943,.17939611,-.43884084,.26437896,-6
-.0041087861,.30695832,-.60573602,.59751844,-5
.30578938,.25880021,-.20144969,.81302845,-4
-.026748093,.26229277,-.54083252,.48733631,-3
-.20547639,.27343678,-.74140263,.33044982,-2
-.11546201,.19357182,-.49485582,.26393178,-1
0,0,0,0,-1
-.024302034,.17938641,-.37589294,.32728887,0
.16620769,.18241276,-.19131474,.5237301,1
-.0016585279,.18482491,-.36390871,.36059165,2
-.064355418,.21320952,-.48223841,.35352758,3
.063924037,.27872837,-.48237354,.61022162,4
.21202376,.26614732,-.3096154,.7336629,5
.032480419,.28935993,-.53465462,.59961545,6
-.051698465,.24943118,-.54057455,.43717766,7
-.16605057,.27493638,-.70491594,.3728148,8
-.074482903,.2207173,-.50708085,.35811505,9
.211418,.34634474,-.46740523,.89024121,10
.26752073,.28828657,-.29751059,.83255202,11
.24365969,.4853791,-.70766586,1.1949853,12
.49518654,.47656924,-.43887198,1.429245,13
.11991587,.43014991,-.72316247,.96299422,14
-1.0615141,1.9684322,-4.9195704,2.7965419,15
-1.2509812,2.679673,-6.5030437,4.0010815,16
-1.067224,2.8459809,-6.6452441,4.5107961,17
-.16493405,.15139234,-.46165758,.13178946,18
-.021299284,.096975923,-.21136861,.16877003,19
-.012901207,.1142501,-.2368273,.21102488,20
.048657864,.22614874,-.39458552,.49190125,21
.17334263,.10856391,-.039438713,.38612399,22
.010478578,.13946022,-.26285845,.28381559,23
-.40298378,.25306627,-.89898455,.093017034,24
