theft_to_vehicle_log_index1,theft_to_vehicle_log_index0,lb,ub,exp
-.010046507,.065061532,-.13756476,.11747175,-24
.12922974,.11004619,-.086456828,.34491631,-23
-.19553177,.13408464,-.45833287,.067269303,-22
.14852634,.1555786,-.1564021,.45345479,-21
-.019010434,.076434895,-.16882008,.1307992,-20
.22328185,.12397845,-.019711459,.46627513,-19
-.035253219,.1228181,-.27597228,.20546584,-18
-.19009271,.10079508,-.38764745,.0074620061,-17
.11984198,.12563989,-.12640768,.36609164,-16
.044500377,.059353236,-.071829826,.16083057,-15
-.15656562,.17151763,-.49273399,.17960276,-14
-.0466737,.12003261,-.28193328,.18858588,-13
.13386191,.090241477,-.043008126,.31073195,-12
-.096628986,.1031119,-.29872459,.10546663,-11
-.10207068,.1324328,-.36163422,.15749285,-10
.099853933,.094296992,-.084964775,.28467265,-9
.16824847,.10713875,-.041739624,.37823659,-8
-.1365111,.15262225,-.43564522,.16262302,-7
-.014218739,.096718617,-.20378375,.17534627,-6
.086267114,.1098147,-.12896574,.30149996,-5
.030733295,.086129092,-.13807662,.19954321,-4
-.03520311,.079128362,-.19029185,.11988562,-3
.026082596,.10019495,-.17029589,.22246109,-2
-.034263629,.090894461,-.21241349,.14388624,-1
0,0,0,0,-1
-.058515523,.06602294,-.1879181,.070887052,0
.080579147,.079509825,-.075257249,.23641555,1
-.029206283,.076267086,-.17868704,.12027446,2
-.10730127,.098104216,-.299582,.084979467,3
-.053240005,.09086594,-.23133399,.12485397,4
.03471265,.11535875,-.19138636,.26081166,5
-.048060741,.088952094,-.22240365,.12628216,6
-.011658648,.15169945,-.3089841,.28566682,7
-.12407003,.081442259,-.28369394,.035553865,8
-.11518198,.090815023,-.29317614,.062812187,9
.037776887,.10174798,-.16164549,.23719926,10
-.054323193,.10190999,-.2540631,.14541671,11
.054043029,.19481805,-.32779333,.43587941,12
.1426264,.18709104,-.2240653,.50931811,13
-.080743819,.15049893,-.3757163,.21422866,14
-.56953084,.61544847,-1.7757877,.63672602,15
-.59101373,.90608633,-2.3669102,1.1848829,16
-.42213002,.6204927,-1.6382734,.79401332,17
-.089464672,.09301725,-.27177513,.092845798,18
-.054373864,.066887185,-.18547033,.076722607,19
-.014576638,.064021043,-.14005558,.11090231,20
.041354507,.10882816,-.17194475,.25465378,21
.041853294,.054510549,-.064985417,.14869201,22
-.01686866,.081839055,-.17727025,.14353293,23
-.32269293,.17495446,-.66559738,.020211499,24
