tasa_total_homicidio1,tasa_total_homicidio0,lb,ub,exp
-.033609096,.038448319,-.10896642,.041748226,-24
.005283677,.036371272,-.066002704,.076570064,-23
.030714631,.07595057,-.11814575,.17957501,-22
.42051849,.31831941,-.20337611,1.0444131,-21
-.45256525,.33829004,-1.1156015,.21047103,-20
.014232622,.071227223,-.12537017,.15383542,-19
-.03009899,.038158506,-.10488829,.044690307,-18
.018975452,.044717744,-.068669714,.10662062,-17
.10957987,.14713785,-.17880504,.39796478,-16
.059185479,.071938589,-.081811562,.20018253,-15
-.099809252,.14409393,-.38222817,.18260966,-14
.18384905,.22998807,-.26691926,.63461739,-13
-.27558887,.35800663,-.97726893,.42609122,-12
.25863129,.35848641,-.44398919,.9612518,-11
-.064258754,.15055101,-.35933331,.23081581,-10
.057336524,.10732784,-.15302218,.26769522,-9
-.16359185,.10663996,-.37260231,.045418628,-8
.0546473,.0628253,-.068488024,.17778262,-7
-.034727849,.11524796,-.26060969,.191154,-6
-.0035417317,.047090702,-.095837817,.088754348,-5
-.091574661,.1200418,-.32685226,.14370295,-4
.13683313,.21763872,-.28973091,.56339717,-3
-.31828761,.26673049,-.84106982,.20449455,-2
.16858536,.10012947,-.027664792,.36483553,-1
0,0,0,0,-1
.0087599987,.066093907,-.12078168,.13830167,0
-.09709128,.10144895,-.29592755,.101745,1
.12148564,.12679417,-.12702638,.36999765,2
.058388747,.1357552,-.20768654,.32446402,3
-.11380542,.090270944,-.29073322,.063122377,4
-.018012365,.17526075,-.36151713,.32549241,5
-.072044991,.070644192,-.21050507,.066415086,6
-.16370447,.11433033,-.38778779,.060378864,7
-.076706462,.091699928,-.25643501,.10302209,8
-.10177326,.070921078,-.24077603,.037229501,9
-.22306024,.12786885,-.47367859,.027558092,10
-.26344976,.13784005,-.5336113,.0067117712,11
-.094338462,.24589194,-.57627779,.3876009,12
-.12239375,.11221544,-.34233198,.097544476,13
-.21691953,.10294273,-.41868359,-.01515547,14
-.18110311,.26927531,-.70887297,.34666678,15
-.085356101,.10917654,-.29933819,.12862599,16
-.10263775,.14023651,-.37749627,.17222077,17
-.1724764,.1572334,-.48064819,.13569541,18
-.074468188,.19046958,-.44778171,.29884532,19
-.034550838,.20898871,-.44416118,.37505949,20
-.14151286,.15185925,-.43915153,.1561258,21
-.2428522,.16747929,-.57110554,.085401177,22
-.20579195,.18974386,-.57768309,.16609916,23
-.20577066,.16449122,-.52816749,.1166262,24
