tasa_total_hurto1,tasa_total_hurto0,lb,ub,exp
.0053189909,.084054552,-.1594249,.17006288,-24
.024588222,.075996175,-.12436154,.17353798,-23
.050003085,.090000942,-.12639552,.22640169,-22
.046735376,.074539237,-.099358849,.19282959,-21
.17904191,.30677998,-.42223579,.78031963,-20
-.002802802,.072257631,-.14442515,.13881955,-19
-.041021641,.14188531,-.31911173,.23706844,-18
.019579589,.062538974,-.10299455,.14215373,-17
.0096741011,.085192248,-.15729964,.17664783,-16
-.30129987,.41218057,-1.109159,.50655919,-15
.37157184,.5677554,-.74120831,1.484352,-14
-.1405399,.177983,-.48938015,.20830037,-13
-.052446809,.052581295,-.15550426,.050610643,-12
.016151868,.20613226,-.38785994,.42016369,-11
-.3746199,.42047104,-1.1987281,.44948819,-10
-.047026321,.13468589,-.31100583,.21695317,-9
.012651467,.23304735,-.44411293,.46941587,-8
-.36819184,.25497499,-.86793369,.13154998,-7
-.732032,.64892948,-2.0039105,.53984642,-6
.23735827,.28375173,-.31878489,.79350144,-5
-.019692153,.1423317,-.29865715,.25927284,-4
-.28877714,.49842718,-1.2656765,.68812215,-3
-.42623296,.77628225,-1.9477181,1.0952523,-2
0,0,0,0,-1
-.093306795,.090039633,-.26978123,.083167642,-1
.085282259,.084902659,-.081123896,.25168842,0
.28803006,.20395385,-.11171211,.68777227,1
.29033792,.3747724,-.44420248,1.0248784,2
.15633811,.48645407,-.79709435,1.1097705,3
.23835523,.58002675,-.8984763,1.3751868,4
.23364763,.78232932,-1.2996897,1.7669849,5
.11721995,.7701869,-1.3923187,1.6267586,6
.068211608,.73325437,-1.3689405,1.5053637,7
-.0084260684,.71469176,-1.4091961,1.392344,8
-.0020087976,.71299171,-1.399447,1.3954294,9
-.2674492,.95006657,-2.1295455,1.5946472,10
-.29529113,.92587245,-2.1099677,1.5193856,11
-.80262041,1.3978617,-3.5423791,1.9371383,12
-.93813545,1.4074743,-3.6967344,1.8204634,13
-1.5923346,1.8830777,-5.2830992,2.0984299,14
2.8652034,4.3492641,-5.6591978,11.389605,15
3.4958138,5.2861447,-6.8648396,13.856467,16
5.1688161,7.3543854,-9.2455149,19.583147,17
1.7365329,.92965484,-.085557081,3.5586228,18
1.5433478,.93230653,-.28393936,3.370635,19
1.4316952,.87958491,-.29225954,3.1556499,20
1.4722136,.88801384,-.26826152,3.2126889,21
1.2276239,.9816469,-.69636869,3.1516166,22
1.2559173,1.0120894,-.72774142,3.2395761,23
1.1654469,.96885514,-.73347425,3.064368,24
