tasa_total_violacion_maltrato1,tasa_total_violacion_maltrato0,lb,ub,exp
-.10288198,.20599492,-.50662458,.30086064,-24
.19677579,.1966857,-.18872111,.58227271,-23
-.19242093,.22028962,-.62418067,.23933879,-22
-.15575217,.26896974,-.6829232,.37141886,-21
-.031827934,.10571073,-.23901716,.17536129,-20
.18543093,.20259884,-.2116555,.58251739,-19
-.16880806,.31001106,-.77641857,.43880245,-18
-.41739395,.33983728,-1.0834628,.24867487,-17
.84335023,.61603856,-.36406317,2.0507636,-16
-.33832291,.26449957,-.85673255,.1800867,-15
-.062297419,.25298503,-.55813897,.43354413,-14
.32310003,.29651761,-.25806385,.90426385,-13
-.14175354,.20901543,-.55141622,.26790917,-12
.0075564124,.12070186,-.22901489,.24412772,-11
-.28265375,.41505414,-1.0961449,.53083742,-10
.084285535,.31587097,-.53481019,.70338124,-9
.10163384,.13100249,-.15512633,.358394,-8
-.77092969,.58779311,-1.9229831,.38112363,-7
-.084098168,.099200942,-.27852845,.11033211,-6
.44162732,.63112807,-.79536092,1.6786156,-5
-.17561086,.3395012,-.841021,.48979926,-4
-.13839214,.1983901,-.52722955,.25044531,-3
-.40024948,.31098938,-1.0097774,.20927854,-2
-.0081584938,.23761366,-.47387272,.45755574,-1
0,0,0,0,-1
-.047882751,.16565426,-.37255913,.27679363,0
.026036683,.26897517,-.50114495,.55321836,1
-.14230755,.21624756,-.566145,.28152987,2
.037659135,.23566043,-.42422682,.4995451,3
-.056516238,.32485962,-.69322938,.58019692,4
-.040938474,.32800186,-.68381029,.60193336,5
-.034134403,.33889908,-.69836438,.63009554,6
-.015410413,.41832241,-.83530724,.80448645,7
-.072216563,.41212708,-.87997079,.73553771,8
.24280511,.55709541,-.84908181,1.334692,9
-.19696514,.57612544,-1.3261503,.93221998,10
-.61636508,.69657427,-1.9816256,.74889547,11
-.47448277,.65751517,-1.7631888,.81422329,12
-.60242784,.83930349,-2.2474325,1.0425767,13
-1.2624593,1.246385,-3.7053289,1.1804104,14
.90005291,1.4341228,-1.910776,3.7108819,15
1.457244,2.2253458,-2.9043536,5.8188415,16
2.4587777,3.239486,-3.8904982,8.808054,17
.77694458,.67616171,-.54830801,2.1021972,18
.6876049,.62067914,-.52890384,1.9041137,19
.85835618,.55361336,-.226706,1.9434184,20
1.0689793,.50712031,.075041749,2.062917,21
.78604633,.57498688,-.34090719,1.9129999,22
.52231014,.50098783,-.45960799,1.5042282,23
.70486408,.30190605,.11313911,1.2965891,24
