crime_index_eb1,crime_index_eb0,lb,ub,exp
-1.2482295,.76469535,-2.747005,.25054583,-24
-.40337163,2.0929251,-4.5054297,3.6986864,-23
9.6809587,8.5448103,-7.0665612,26.428478,-22
-8.4620733,7.294518,-22.759066,5.8349195,-21
5.5552025,5.4591808,-5.1445956,16.255001,-20
-.20843409,3.5603795,-7.1866498,6.7697816,-19
10.372808,9.9564114,-9.1413994,29.887016,-18
-2.0867674,3.0179677,-8.0018759,3.8283408,-17
12.538337,10.729995,-8.4920654,33.568741,-16
1.2310975,2.4874334,-3.6441822,6.1063771,-15
-3.5479238,6.4991198,-16.285965,9.1901169,-14
2.3922157,2.293514,-2.1029892,6.8874207,-13
8.5660477,6.4776897,-4.1299911,21.262087,-12
-3.3895371,4.737896,-12.675643,5.8965688,-11
-12.416258,7.4053555,-26.930487,2.0979719,-10
-8.7201757,11.446218,-31.154352,13.714001,-9
-.095370814,1.4343387,-2.9066229,2.7158813,-8
-1.6035267,3.4480531,-8.3615866,5.1545329,-7
1.3128189,1.7844688,-2.1846757,4.8103137,-6
-6.6673927,4.1723804,-14.845108,1.5103227,-5
3.5890663,2.2554944,-.83162147,8.0097542,-4
-4.405921,2.46647,-9.2401133,.42827147,-3
4.3801069,2.6200805,-.75515646,9.5153704,-2
0,0,0,0,-1
-1.1193113,2.7785337,-6.5651374,4.3265147,-1
-1.8512557,2.9834092,-7.6986303,3.9961188,0
-2.2797062,3.0623052,-8.2817144,3.7223017,1
-2.9167159,3.5804269,-9.9342241,4.1007919,2
-2.917062,4.5953565,-11.923795,6.0896707,3
-2.2329545,5.9393229,-13.873814,9.4079046,4
-3.2993035,6.5143766,-16.067247,9.4686403,5
-3.786432,7.395318,-18.280989,10.708125,6
-4.6847086,7.9452019,-20.257017,10.887601,7
-5.6411328,8.3981133,-22.101133,10.818868,8
-7.8512387,8.214056,-23.950493,8.2480145,9
-9.685277,8.6765709,-26.691044,7.3204885,10
-10.973708,8.6711302,-27.968811,6.0213943,11
-14.209159,9.1853008,-32.212017,3.7937005,12
-15.067507,10.185078,-35.029892,4.8948784,13
-15.427054,11.911256,-38.772686,7.9185786,14
-7.2101088,10.952137,-28.675903,14.255686,15
-5.3525462,11.312536,-27.52471,16.819616,16
-1.1846311,9.14991,-19.118124,16.748863,17
.94346553,3.466296,-5.8503499,7.7372808,18
.31681347,3.4334092,-6.4125447,7.0461717,19
1.387053,3.0850291,-4.659493,7.433599,20
.76988137,3.1488116,-5.4016762,6.9414387,21
1.5510706,3.6072559,-5.519021,8.6211624,22
-.26589805,3.5202985,-7.165556,6.63376,23
-.21007733,3.1288805,-6.3425708,5.9224157,24
