homicide_area_index1,homicide_area_index0,lb,ub,exp
.18539408,.13516405,-.079522595,.45031074,-24
.31509459,.33124295,-.33412963,.96431887,-23
.26364037,.26074901,-.24741831,.77469909,-22
.032112174,.26844817,-.49403659,.55826092,-21
-.28637761,.19138148,-.6614784,.08872322,-20
.10305027,.38995692,-.66125131,.86735183,-19
-.2131636,.35912767,-.91704088,.49071369,-18
-.41043663,.35469359,-1.1056234,.28475004,-17
-.020611955,.20149423,-.41553339,.37430948,-16
-.37413111,.31967661,-1.0006858,.25242352,-15
-.3485966,.48041677,-1.2901962,.59300297,-14
-.10090015,.4436672,-.97047192,.76867157,-13
-.0060724495,.29902923,-.59215897,.58001405,-12
.25446102,.29492941,-.32359001,.83251208,-11
.18629076,.32704982,-.4547151,.82729661,-10
.19794217,.32660675,-.44219533,.83807963,-9
.42108068,.4266234,-.41508582,1.2572472,-8
-.21660422,.29542875,-.79563397,.36242551,-7
-.025856975,.1913761,-.40094724,.3492333,-6
.037364852,.22413391,-.40192953,.47665924,-5
-.21202552,.3485904,-.89525014,.4711991,-4
-.1487412,.24662313,-.6321137,.33463126,-3
-.0061470144,.27335742,-.54191768,.52962369,-2
0,0,0,0,-1
.23091717,.24708445,-.25335944,.71519381,-1
-.18229665,.2765215,-.72426879,.35967553,0
-.18721278,.33347315,-.84080815,.46638256,1
-.16656347,.38945499,-.92988122,.59675425,2
.24601388,.3654494,-.47025377,.96228153,3
.079226762,.33842614,-.58407629,.74252981,4
.46699408,.5090546,-.5307346,1.4647228,5
.60050189,.48581722,-.35168239,1.5526861,6
.69267881,.71431947,-.70736164,2.0927193,7
.58140671,.63350266,-.6602357,1.8230491,8
.40568852,.56284422,-.6974659,1.5088429,9
1.2666922,.91968143,-.53585035,3.0692346,10
.79416764,.70364821,-.58495754,2.1732929,11
.95132071,.76230353,-.54276669,2.4454081,12
.77973926,.68650383,-.56578356,2.125262,13
.90234327,.61049229,-.29419962,2.0988863,14
.32756716,.60880911,-.86567682,1.5208112,15
-.32656002,.66434157,-1.6286457,.97552556,16
-.37513125,.64985937,-1.6488322,.89856976,17
-.23958203,.26563168,-.76021051,.28104648,18
.043670841,.29975516,-.54383844,.63118011,19
-.16276407,.32283714,-.79551327,.46998513,20
-.2127604,.44011673,-1.0753734,.64985257,21
-.78207946,1.1040391,-2.9459562,1.3817973,22
-.021419121,.20836578,-.42980856,.38697031,23
-.92760366,1.2666749,-3.4102409,1.5550334,24
