homicide_index_eb1,homicide_index_eb0,lb,ub,exp
.12263732,.071072459,-.01666213,.26193678,-24
-.046050098,.078510463,-.19992778,.10782758,-23
-.016487958,.031596951,-.078416847,.045440927,-22
.040799581,.053479858,-.064019009,.14561817,-21
-.096636325,.11307808,-.31826529,.12499264,-20
.1404883,.14631158,-.14627711,.42725372,-19
-.11639747,.13591824,-.38279235,.14999741,-18
-.070583276,.1105411,-.28723985,.1460733,-17
.0049329647,.050567623,-.094177753,.10404368,-16
-.031687118,.080212988,-.18890168,.12552744,-15
.080905333,.10181773,-.11865375,.28046441,-14
-.077688493,.064999342,-.20508486,.049707882,-13
.0055662901,.088143751,-.16719228,.17832486,-12
-.019253118,.080939725,-.17789207,.13938583,-11
.070305556,.070322588,-.067524187,.20813529,-10
-.084284253,.093156219,-.26686707,.098298572,-9
.091473438,.087555297,-.080131784,.26307866,-8
-.062913761,.11319228,-.28476655,.15893902,-7
.015777392,.097910672,-.17612401,.20767878,-6
-.007220048,.076724008,-.15759635,.14315625,-5
.086038105,.11978039,-.14872715,.32080334,-4
-.13620538,.070834108,-.27503768,.0026269185,-3
.11928685,.081800394,-.041038983,.27961269,-2
0,0,0,0,-1
-.069026031,.10720387,-.27914175,.14108969,-1
-.0010713063,.064982846,-.12843534,.12629274,0
.0083674751,.066429667,-.12183228,.13856724,1
.0874281,.070889957,-.051513664,.22636986,2
.36863208,.23170887,-.085508965,.8227731,3
.0416007,.070967324,-.097492702,.1806941,4
.012920669,.077045895,-.13808651,.16392785,5
.097390696,.09381447,-.086482279,.28126368,6
.068022162,.084409595,-.097417615,.23346193,7
.049778804,.08191032,-.11076247,.21032009,8
.081881784,.088406526,-.091391832,.25515538,9
.3093679,.12995727,.054656312,.56407946,10
.059369139,.12289815,-.1815068,.30024508,11
.10555866,.13457583,-.15820511,.36932242,12
.045379125,.12207254,-.19387865,.28463691,13
.17234048,.095716178,-.015259779,.35994074,14
.064238116,.10849534,-.14840885,.27688506,15
-.11196733,.13329265,-.37321612,.14928146,16
-.013250221,.071633294,-.1536489,.12714846,17
-.039399289,.10334041,-.24194278,.16314419,18
-.013438981,.069959313,-.15055671,.12367876,19
.045451328,.08829385,-.12760144,.2185041,20
-.18802072,.1305133,-.44382209,.067780651,21
.018767068,.073637486,-.12555975,.16309389,22
-.044463359,.053513769,-.14934842,.060421705,23
-.0041378667,.066086188,-.13366441,.12538868,24
