homicide_log_index1,homicide_log_index0,lb,ub,exp
.16524136,.085744023,-.0028138496,.33329657,-24
-.088507175,.091688715,-.26821375,.091199398,-23
.0098921787,.036244899,-.061146516,.080930874,-22
-.013277325,.059456319,-.12980957,.10325491,-21
-.020686649,.081627622,-.18067385,.13930055,-20
.030188749,.083886519,-.1342258,.19460329,-19
.010956779,.094385915,-.1740362,.19594976,-18
-.10383847,.08080788,-.26221901,.054542072,-17
.023633365,.038730044,-.052276127,.099542856,-16
.0657259,.07125444,-.073930226,.20538203,-15
-.060932349,.078673743,-.21513006,.093265355,-14
.04152159,.055113755,-.066499382,.14954257,-13
.030262329,.073745564,-.11427632,.17480098,-12
-.016627727,.06364008,-.14136,.10810454,-11
.005631906,.032646522,-.058354102,.069617912,-10
-.042843536,.050093699,-.14102538,.055338308,-9
.057500053,.052167296,-.044745971,.15974608,-8
-.023166932,.062905326,-.1464591,.10012525,-7
-.0087497681,.060417913,-.1271667,.10966717,-6
-.016488403,.052444302,-.11927734,.086300537,-5
.051124912,.05703738,-.060666297,.16291612,-4
-.079224065,.031140761,-.14025883,-.018189296,-3
.067151047,.039646436,-.010554544,.14485663,-2
-.00042187943,.05605267,-.11028309,.10943933,-1
0,0,0,0,-1
-.0063064611,.043007839,-.090600282,.077987358,0
.00869668,.053545717,-.096250996,.11364435,1
.033649184,.04419665,-.052974656,.12027302,2
.14949298,.087291762,-.021595731,.3205817,3
.04844375,.06243559,-.07392776,.17081526,4
.054882623,.076308005,-.09467832,.20444357,5
.043169104,.06155258,-.077471741,.16380994,6
-.042511601,.05422996,-.14880037,.063777164,7
-.022248624,.047511399,-.11536925,.070872001,8
-.034166723,.04989649,-.13196205,.063628599,9
.11442835,.078597859,-.039620623,.26847732,10
.039043542,.065623552,-.089576259,.16766334,11
.024181468,.056290612,-.086146101,.13450904,12
.054569468,.074450783,-.091351382,.20049031,13
.071601443,.083338298,-.091738619,.2349415,14
.12305091,.099502005,-.071969435,.31807128,15
-.027793864,.10401059,-.23165087,.17606315,16
-.024033953,.073212117,-.16752706,.11945916,17
-.019406876,.082489863,-.18108404,.14227028,18
-.033875346,.053301394,-.13834415,.070593469,19
.0025997909,.091582157,-.17689794,.18209752,20
-.059726868,.087523982,-.23127072,.11181699,21
-.02574946,.067624435,-.15829091,.10679199,22
-.039618272,.07562457,-.18783972,.10860316,23
.024609236,.054958403,-.083107255,.13232572,24
