male_index1,male_index0,lb,ub,exp
.92035371,1.1780715,-1.388624,3.2293315,-24
-.46998891,2.9265003,-6.2058239,5.2658463,-23
3.3739753,2.2149374,-.96722251,7.7151728,-22
-1.2222152,2.1200759,-5.3774877,2.9330573,-21
.45637661,1.7664458,-3.0057933,3.9185467,-20
2.2771425,2.2402954,-2.1137559,6.6680408,-19
-.99199116,2.3094647,-5.5184588,3.5344765,-18
-3.0383799,2.5337176,-8.0043755,1.9276155,-17
-2.1673017,2.1868477,-6.4534445,2.1188412,-16
1.1222255,1.4074156,-1.6362586,3.8807094,-15
1.2257491,1.3254118,-1.3720104,3.8235085,-14
.83293992,1.6676949,-2.4356821,4.101562,-13
-.17220755,1.5762252,-3.2615521,2.9171369,-12
-.41910285,1.5579368,-3.4726028,2.6343973,-11
-2.0629718,1.775445,-5.5427804,1.4168364,-10
1.7862033,1.5610247,-1.2733488,4.8457551,-9
.061326295,.9395085,-1.7800765,1.9027292,-8
1.0652846,1.5868175,-2.0448205,4.1753898,-7
1.7807806,1.5817899,-1.3194705,4.881032,-6
-2.0240459,2.1667275,-6.2707539,2.222662,-5
1.984151,1.4191148,-.79726309,4.7655649,-4
-2.5101759,1.9472024,-6.3266225,1.3062706,-3
2.8156335,2.1743748,-1.4460627,7.0773296,-2
-2.1745219,2.2522044,-6.5887613,2.2397177,-1
0,0,0,0,-1
-2.480473,2.4330728,-7.249208,2.2882621,0
-3.0352197,2.728245,-8.3824816,2.3120422,1
-3.87538,3.2051914,-10.15744,2.4066799,2
-4.2543797,3.8811362,-11.861267,3.3525076,3
-3.9275091,4.4149213,-12.580596,4.7255778,4
-4.5418839,4.246305,-12.86449,3.7807212,5
-4.8510566,4.5364065,-13.742249,4.0401368,6
-5.3580451,5.1502428,-15.452335,4.7362452,7
-5.768054,6.1313648,-17.785309,6.2492008,8
-8.1640749,6.8406048,-21.571413,5.2432642,9
-10.137563,6.7601485,-23.387211,3.1120846,10
-11.795608,8.0286293,-27.531431,3.940217,11
-12.154243,8.0315075,-27.89571,3.5872221,12
-12.347412,8.1399689,-28.301458,3.6066349,13
-11.354952,8.1795378,-27.386551,4.6766486,14
-11.784047,8.9877453,-29.399706,5.8316107,15
-12.48386,9.5790806,-31.258514,6.2907939,16
-14.069691,10.835093,-35.30608,7.1667008,17
-17.960539,13.340186,-44.106823,8.1857452,18
-9.9561357,11.845081,-33.17207,13.259797,19
-7.9103303,12.555975,-32.519588,16.698929,20
-3.4580417,10.460928,-23.961084,17.045002,21
-.56137598,3.3763812,-7.1789613,6.0562096,22
-.77303857,3.4032638,-7.4433131,5.8972359,23
-.54703975,3.4026775,-7.2161651,6.1220856,24
