sexual_area_index1,sexual_area_index0,lb,ub,exp
-.54040134,.58513212,-1.6872392,.60643655,-24
.20343819,.40766984,-.59557998,1.0024564,-23
.23318787,.34601885,-.44499663,.91137236,-22
-.46731928,.63998955,-1.7216758,.78703713,-21
.78898472,.75422996,-.68927884,2.2672482,-20
-.85824311,1.0565779,-2.9290979,1.2126117,-19
.51916599,.51515311,-.49051556,1.5288476,-18
-.73187965,1.2418209,-3.1658039,1.7020446,-17
-.41030341,1.0361897,-2.4411979,1.6205912,-16
-1.2543645,1.6712973,-4.5300469,2.021318,-15
-.97835129,1.0964972,-3.1274464,1.1707437,-14
.017866714,.94791818,-1.8400187,1.8757522,-13
.22242185,.77014911,-1.2870426,1.7318864,-12
-.34833831,.67085499,-1.6631899,.96651328,-11
-.22165236,.76774371,-1.7264023,1.2830976,-10
.53311867,.50652313,-.45964846,1.5258857,-9
-.29701969,.49664503,-1.270426,.67638671,-8
.37086695,.62584513,-.85576695,1.5975008,-7
-.29873842,.62413472,-1.52202,.92454314,-6
-.54111451,.76379257,-2.0381205,.95589143,-5
-.26775572,.64881819,-1.539416,1.0039046,-4
-.87756699,.65038043,-2.1522892,.39715517,-3
.4013626,.54816854,-.67302799,1.4757532,-2
0,0,0,0,-1
1.2971374,.89303499,-.45317903,3.0474539,-1
.73272157,.60920668,-.46130154,1.9267447,0
1.487638,1.2864136,-1.0336862,4.0089622,1
2.0594711,1.7780905,-1.4255222,5.5444646,2
2.2242,2.0116074,-1.7184782,6.1668782,3
2.631283,1.9175597,-1.1270652,6.3896313,4
.7088027,1.0755988,-1.3993323,2.8169377,5
.79052675,1.106588,-1.3783458,2.9593995,6
-.12709148,1.1978606,-2.4748552,2.2206721,7
.87018216,.8853907,-.8651517,2.6055162,8
1.2990818,1.1404772,-.93621236,3.5343759,9
2.0862622,1.5886118,-1.0273597,5.1998844,10
2.2861209,1.9606843,-1.5567498,6.1289916,11
2.6117616,2.2235436,-1.7463038,6.9698267,12
3.6340258,2.9856322,-2.217706,9.4857578,13
4.1968479,3.4984953,-2.6600766,11.053773,14
3.9226913,3.5354521,-3.0066676,10.852051,15
3.5505965,3.7685997,-3.8357232,10.936916,16
.26574665,1.9346589,-3.5261152,4.0576086,17
-3.016351,2.8626323,-8.6270065,2.5943053,18
-4.0520825,3.1786914,-10.282204,2.1780384,19
-2.540622,3.0829709,-8.5831337,3.5018897,20
.49053487,1.2747387,-2.0079069,2.9889767,21
.97731459,1.673803,-2.3032789,4.2579083,22
-.45919257,2.4353271,-5.2323456,4.3139606,23
-.14257483,2.0550084,-4.1703176,3.8851678,24
