sexual_index1,sexual_index0,lb,ub,exp
-.94499731,.74185568,-2.3990078,.50901318,-24
.017620699,.13992468,-.25662661,.291868,-23
.065282665,.12858807,-.18674533,.31731066,-22
-.76407623,.52567494,-1.7943802,.26622775,-21
.24810781,.27553067,-.29192236,.78813797,-20
-.12488727,.59692574,-1.2948402,1.0450656,-19
.59956169,.72031063,-.81222117,2.0113444,-18
.34606925,.4674159,-.57004905,1.2621876,-17
1.0617357,1.1053699,-1.1047497,3.2282209,-16
.72366226,.51457399,-.28488415,1.7322087,-15
-2.9259901,2.0671284,-6.9774876,1.1255075,-14
.46672782,.56404793,-.63878584,1.5722415,-13
2.7551422,1.9304194,-1.0284104,6.5386949,-12
-.92683053,.97445136,-2.83672,.98305899,-11
-1.4414195,1.4489304,-4.281271,1.3984318,-10
.075681239,.71768802,-1.3309615,1.4823239,-9
-1.1021459,.77716583,-2.6253629,.42107102,-8
.3049652,.39129394,-.46195683,1.0718873,-7
.18733366,.43822208,-.67156583,1.0462332,-6
-1.2536372,.81735104,-2.8556159,.34834141,-5
.45127365,.50450689,-.53754175,1.440089,-4
-.78933018,.64552444,-2.0545349,.47587454,-3
.42006722,.34569031,-.25747335,1.0976079,-2
0,0,0,0,-1
.73766953,.32704878,.096665688,1.3786733,-1
1.0466273,.72421294,-.37280393,2.4660585,0
.0031542056,.51032859,-.9970715,1.0033799,1
-.026301879,.61176479,-1.2253388,1.1727351,2
.037219513,.60640639,-1.1513152,1.2257543,3
.29113051,.60096085,-.88673109,1.4689921,4
-.61829603,.5698806,-1.7352415,.49864945,5
.38660687,.42338139,-.44320542,1.2164192,6
-.029481124,.61480469,-1.2344762,1.175514,7
-.31322744,.53151423,-1.3549762,.72852135,8
.19773684,.40598109,-.59797144,.99344516,9
.33246422,.3393704,-.33268952,.99761796,10
.059966754,.48643836,-.89343488,1.0133684,11
-.043154206,.48467359,-.99309695,.90678853,12
.54986441,.48133847,-.39354166,1.4932705,13
.49572864,.57646173,-.63411558,1.6255729,14
.35796484,.72262132,-1.0583469,1.7742766,15
.2438577,.6858682,-1.1004193,1.5881346,16
-.0076979669,.77579159,-1.5282215,1.5128256,17
-1.3801095,.91314024,-3.1698315,.40961248,18
-1.9872727,1.254021,-4.4451089,.47056329,19
-.36564377,.63021994,-1.6008521,.86956459,20
.21304591,.5073123,-.78126788,1.2073597,21
.063780814,.81815332,-1.5397702,1.6673319,22
-.47990164,1.0365356,-2.5114741,1.5516708,23
-.15936872,.70214677,-1.5355512,1.2168137,24
