sexual_index_eb1,sexual_index_eb0,lb,ub,exp
-.25241739,.39733467,-1.031179,.52634424,-24
-.051047862,.15609208,-.35698271,.25488701,-23
.05790196,.13820823,-.21298118,.32878509,-22
-.29105896,.11147808,-.509552,-.072565921,-21
.57107222,.34509832,-.10530808,1.2474525,-20
-.42427894,.51965404,-1.4427822,.59422427,-19
.26227468,.21023124,-.14977099,.67432034,-18
.48722708,.38329229,-.26401201,1.2384661,-17
1.5994775,1.5685394,-1.4748032,4.6737585,-16
-.16924119,.26132056,-.68142009,.34293771,-15
-1.7018389,1.7518703,-5.1354413,1.7317638,-14
-.058859892,.2706261,-.58927733,.47155753,-13
2.7072117,1.8608484,-.93998414,6.3544073,-12
-1.3761642,1.2534609,-3.8329024,1.0805742,-11
-.70812023,1.3145601,-3.2846107,1.8683702,-10
-.031761214,.73393863,-1.4702545,1.4067321,-9
-.85576916,.64633697,-2.1225662,.41102803,-8
.66547316,.54147285,-.39579421,1.7267405,-7
-.10683949,.35912618,-.81071383,.59703487,-6
-1.1565084,.69046402,-2.509793,.19677612,-5
.46484524,.41939247,-.35714889,1.2868394,-4
-.60588109,.50319922,-1.5921334,.38037121,-3
.21053323,.2436353,-.26698318,.68804961,-2
0,0,0,0,-1
.45625189,.30937281,-.15010765,1.0626115,-1
.53196764,.42447907,-.29999602,1.3639313,0
-.27884525,.36815116,-1.0004083,.44271776,1
.1499534,.23162791,-.30402896,.60393572,2
.14675583,.29182917,-.42521882,.71873051,3
.65838909,.34333354,-.014532292,1.3313105,4
-.0040333234,.33655137,-.6636619,.65559524,5
.13159838,.37088382,-.59532058,.85851735,6
.015920421,.44715226,-.86048186,.89232272,7
-.16608235,.38976327,-.9300043,.59783959,8
.0989585,.38312581,-.65195423,.84987128,9
.23583433,.32925439,-.40949243,.88116109,10
-.46645787,.58368248,-1.6104546,.67753881,11
-.62739617,.49926713,-1.6059418,.35114947,12
-.25882363,.42814034,-1.0979633,.58031601,13
-.75592893,.40030509,-1.5405124,.028654672,14
-.43086419,.55980664,-1.528065,.66633666,15
-.67610562,.57353127,-1.8002063,.44799504,16
-.645033,.43366951,-1.4950095,.20494361,17
-.74071151,.41323423,-1.5506357,.069212675,18
-.88593841,.41193575,-1.6933177,-.078559205,19
.0080116978,.26539207,-.51214719,.52817059,20
-.1500854,.36455214,-.86459446,.56442368,21
-.1107799,.85329801,-1.7832133,1.5616535,22
-.80143082,.76695198,-2.3046291,.70176744,23
-.38612586,.27660513,-.92826194,.15601023,24
