sexual_log_index1,sexual_log_index0,lb,ub,exp
-.11816113,.1050013,-.32395989,.087637641,-24
-.033317842,.06840086,-.16738106,.10074538,-23
.016892238,.062818676,-.1062301,.14001457,-22
-.16370709,.12470096,-.40811649,.080702297,-21
.093601644,.06373021,-.031307265,.21851055,-20
-.1013896,.10697827,-.31106317,.10828395,-19
.12316266,.076128706,-.026046859,.27237219,-18
.019427374,.068247333,-.11433493,.15318969,-17
.038195781,.11915234,-.19533852,.2717301,-16
.050107237,.089804381,-.12590611,.22612059,-15
-.19231904,.11003918,-.40799186,.023353802,-14
.027909886,.082970008,-.13470834,.19052812,-13
.04739308,.096413009,-.14157295,.2363591,-12
-.024365412,.071619481,-.16473702,.11600619,-11
-.1710217,.1443181,-.45387998,.1118366,-10
.1199454,.092548467,-.061446253,.30133706,-9
-.11500787,.08247453,-.27665499,.046639245,-8
.081147484,.068851307,-.053798605,.21609357,-7
.057656411,.090562314,-.11984245,.23515527,-6
-.16609314,.097003996,-.35621747,.024031198,-5
.09717451,.090782948,-.080756798,.27510583,-4
-.15270224,.10265331,-.35389903,.048494548,-3
.063464306,.060056292,-.054243863,.18117248,-2
0,0,0,0,-1
.11677627,.060010321,-.00084180379,.23439433,-1
.065771677,.052692596,-.037503913,.16904727,0
.024780765,.070055187,-.11252487,.16208641,1
-.019565688,.1078617,-.23097073,.19183935,2
.0013773823,.097865425,-.19043534,.1931901,3
.11028579,.12065486,-.12619339,.34676495,4
-.11799455,.11006345,-.33371493,.097725838,5
.034915626,.091775708,-.14496146,.21479271,6
-.030134603,.10777893,-.24137741,.18110822,7
-.018436048,.10959544,-.23323916,.19636707,8
.097291604,.079684995,-.058888111,.25347131,9
.07145904,.0707094,-.06712883,.2100469,10
-.040575925,.11711024,-.27010778,.18895593,11
-.022047412,.097831018,-.21379268,.16969787,12
.068714216,.082189798,-.092374831,.22980326,13
.076434322,.13158344,-.18146448,.33433312,14
.13746908,.16827507,-.19234401,.46728218,15
.090330116,.1841871,-.27066994,.45133018,16
.067492858,.21839884,-.36056101,.49554673,17
-.11843297,.2023156,-.51496428,.27809832,18
-.18609631,.15139273,-.4828206,.11062797,19
.18564101,.16503453,-.13782074,.50910276,20
.23122628,.18935673,-.13990609,.60235864,21
.25153995,.22831233,-.19594398,.6990239,22
.15961634,.25016439,-.33069685,.64992952,23
.21620759,.18209694,-.14069586,.57311106,24
