theft_to_motorbike_area_index1,theft_to_motorbike_area_index0,lb,ub,exp
-.33187026,.37434763,-1.0655781,.40183765,-24
.11177222,.45331606,-.77671093,1.0002553,-23
.18414219,.38461471,-.5696888,.9379732,-22
.21299979,.27914098,-.3341065,.76010609,-21
-.18804547,.29355314,-.76339906,.38730809,-20
.46977898,.24904582,-.018341878,.95789981,-19
-.22680736,.24483868,-.70668232,.25306764,-18
-.47448426,.36334819,-1.1866336,.23766506,-17
-.67579901,.37421551,-1.4092479,.057649866,-16
-.56992704,.46931872,-1.4897748,.34992075,-15
-.02275957,.43054008,-.86660266,.82108349,-14
.079187311,.6461525,-1.1872482,1.3456229,-13
.33910444,.42135376,-.48673376,1.1649426,-12
.34499261,.28582966,-.21522324,.90520841,-11
.38501024,.4402388,-.47784197,1.2478625,-10
.066676304,.28774184,-.49728736,.63063997,-9
-.27765477,.42450064,-1.1096607,.55435121,-8
.18156029,.27221355,-.35196847,.71508908,-7
-.54294932,.39843544,-1.3238684,.23796982,-6
.25527555,.35097,-.43261302,.94316411,-5
.30856341,.39503288,-.46568683,1.0828136,-4
-.84607732,.51128697,-1.8481814,.15602678,-3
.37438786,.2666513,-.14823909,.8970148,-2
0,0,0,0,-1
-.10055131,.34386221,-.77450889,.57340628,-1
-.004070858,.31277519,-.61709899,.60895729,0
.15323001,.38525495,-.60185581,.90831584,1
.20706952,.4728393,-.71967846,1.1338176,2
-.23562472,.47700089,-1.1705292,.69927984,3
-.41074204,.56257766,-1.5133741,.69189,4
.21145885,.67791504,-1.1172302,1.5401479,5
-.22717217,.66563588,-1.5317944,1.0774502,6
-.1684607,.73338717,-1.6058732,1.2689518,7
-.33645183,.6577822,-1.6256813,.95277762,8
-.3675828,.7273193,-1.7931024,1.0579369,9
.32037711,.85730916,-1.359918,2.0006721,10
1.0389429,.85759658,-.6419155,2.7198012,11
.31667832,.8715542,-1.3915365,2.024893,12
.63246787,1.084293,-1.4927074,2.757643,13
.32820818,1.0393856,-1.7089502,2.3653665,14
-.236059,1.2197329,-2.6266916,2.1545734,15
-.20889868,1.4618422,-3.0740569,2.6562595,16
-1.638478,1.4001811,-4.3827825,1.1058263,17
.44080234,.77037281,-1.0691006,1.9507053,18
-.9612267,.47457013,-1.8913671,-.031086365,19
-.24547949,.63863158,-1.4971744,1.0062155,20
-.65815079,.59618908,-1.8266599,.51035839,21
.48819223,.58922887,-.66667515,1.6430596,22
.4374381,.69312501,-.92106199,1.7959381,23
1.3727839,.86435193,-.32131466,3.0668826,24
