theft_to_motorbike_index1,theft_to_motorbike_index0,lb,ub,exp
-.48221868,.34597424,-1.1603158,.19587837,-24
.87506956,.54343128,-.19003613,1.9401753,-23
-.42343962,.38336995,-1.1748309,.3279517,-22
-.27387396,.5467608,-1.3455055,.79775751,-21
.22172759,.55701649,-.87000465,1.3134599,-20
.565494,.29172981,-.0062859287,1.1372739,-19
-.36288288,.29930481,-.94950956,.22374375,-18
.11251891,.30319393,-.48173025,.7067681,-17
-.083811432,.38503236,-.83846098,.67083812,-16
-.31933501,.36948851,-1.0435191,.4048492,-15
.56853747,.33997321,-.097797774,1.2348728,-14
-.58291924,.38593733,-1.3393425,.17350404,-13
.82403284,.61871457,-.38862538,2.0366912,-12
-.6299445,.62241095,-1.8498476,.58995861,-11
.1510141,.25212231,-.34313658,.64516479,-10
-.041676152,.28582475,-.60188234,.51853001,-9
-.25812298,.26893261,-.78522122,.26897526,-8
.38557482,.25493154,-.11408179,.88523144,-7
-.45310658,.25184909,-.94672173,.040508579,-6
.35078216,.26937729,-.17718764,.87875193,-5
.46525866,.28346249,-.090317652,1.0208349,-4
-.7904675,.46900031,-1.7096912,.12875623,-3
.18483813,.13886857,-.087339267,.45701554,-2
.10914072,.21932365,-.32072574,.53900719,-1
0,0,0,0,-1
.11179078,.28756922,-.45183456,.67541611,0
-.20042445,.28069901,-.75058442,.3497355,1
-.10584618,.26078087,-.61696732,.40527496,2
-.21507715,.39018527,-.97982621,.54967195,3
-.4635278,.35272032,-1.1548469,.22779132,4
-.12566856,.33495688,-.78217196,.53083485,5
-.36218128,.38352793,-1.1138822,.38951969,6
-.029862294,.31564048,-.64850628,.58878171,7
-.28598276,.33118677,-.93509692,.3631314,8
-.25281733,.3966361,-1.0302098,.52457511,9
-.07604146,.3384378,-.73936737,.58728445,10
.27238819,.3525711,-.41863847,.96341479,11
-.34212884,.35805291,-1.0438997,.359642,12
-.095927067,.26966411,-.62445897,.43260485,13
.0077449144,.41291508,-.80155379,.8170436,14
-.087541513,.31295404,-.70092016,.52583718,15
.016617857,.64744496,-1.2523509,1.2855866,16
-.53905892,.46718416,-1.454723,.37660524,17
.30919871,.39483106,-.46465594,1.0830534,18
-.081795089,.35443506,-.77647501,.61288482,19
.15593921,.38764158,-.60382432,.9157027,20
.038120851,.34605268,-.64012992,.71637166,21
.57251716,.38921073,-.19032186,1.3353562,22
-.058984403,.29194322,-.63118261,.51321381,23
.75001782,.46499988,-.16136523,1.6614008,24
