theft_to_motorbike_index_eb1,theft_to_motorbike_index_eb0,lb,ub,exp
-.11491653,.11367504,-.33771551,.10788245,-24
.26823917,.1395808,-.005334178,.54181248,-23
-.11402802,.12241045,-.35394809,.12589206,-22
.084745459,.10081222,-.11284286,.28233376,-21
-.053749565,.11701864,-.28310189,.17560276,-20
.16950914,.095106214,-.016895603,.35591391,-19
-.073928095,.10215354,-.27414533,.12628916,-18
-.11184229,.14431368,-.39469188,.17100732,-17
-.13326678,.18109809,-.4882125,.22167894,-16
-.15887678,.15478295,-.46224579,.14449222,-15
.34425199,.17300694,.005164634,.68333936,-14
-.14646895,.2320811,-.60133952,.30840161,-13
.29560226,.22218005,-.13986263,.73106718,-12
-.0051518488,.18223016,-.3623164,.35201272,-11
-.024844741,.12256567,-.26506904,.21537955,-10
-.0491613,.099461026,-.24410133,.14577873,-9
-.079275914,.12632065,-.32685983,.16830799,-8
.13248332,.11771758,-.098238885,.36320552,-7
-.20663899,.12353388,-.44876096,.035482977,-6
.13179959,.17056778,-.20250709,.4661063,-5
.30088228,.14969756,.007480457,.59428412,-4
-.42171732,.26359785,-.93835962,.094924971,-3
.13580625,.10900057,-.077830948,.34944344,-2
-.051465012,.12414356,-.29478192,.1918519,-1
0,0,0,0,-1
.031803146,.15962049,-.28104728,.34465358,0
.0086888401,.16036986,-.3056303,.32300797,1
-.024549186,.15208688,-.32263401,.27353564,2
-.12927181,.19557992,-.51260144,.25405779,3
-.26066422,.21207394,-.67632151,.15499306,4
-.014107354,.23719396,-.47899896,.45078427,5
-.15796909,.205981,-.56168443,.24574627,6
-.0065055201,.25337639,-.5031141,.49010307,7
-.14372317,.22462615,-.58398235,.296536,8
-.18718027,.24232075,-.66212022,.28775966,9
-.0027302345,.22673592,-.44712445,.44166398,10
.27951887,.26650622,-.24282376,.80186152,11
-.10152347,.26021209,-.61152977,.40848285,12
.08987698,.22792295,-.3568438,.53659773,13
.03930226,.28089312,-.51123816,.58984268,14
.014586633,.27582535,-.52602112,.55519438,15
.075017989,.4241465,-.75629383,.90632981,16
-.31856006,.40407962,-1.1105416,.47342142,17
.20066182,.28319865,-.35439733,.75572097,18
-.088980876,.20264831,-.48616427,.30820253,19
.074997395,.28081957,-.47539887,.62539363,20
.034797754,.22456765,-.40534675,.47494227,21
.44277623,.27892622,-.10390909,.98946154,22
.091593079,.17057583,-.2427294,.42591554,23
.61515212,.38137722,-.13233355,1.3626378,24
