theft_to_motorbike_log_index1,theft_to_motorbike_log_index0,lb,ub,exp
-.16698828,.12384921,-.40972826,.0757517,-24
.25040436,.13745885,-.019010046,.51981872,-23
-.060194746,.077822536,-.2127241,.092334613,-22
-.054477125,.12603363,-.3014985,.19254425,-21
.01895727,.13336056,-.24242464,.28033918,-20
.14066377,.061471354,.020182129,.26114541,-19
-.042902883,.064956494,-.17021526,.084409505,-18
-.037864573,.081467241,-.19753744,.12180828,-17
-.094152182,.10066915,-.2914601,.10315572,-16
.015683763,.07469587,-.13071746,.16208498,-15
.14540292,.066689052,.014694782,.27611107,-14
-.18049325,.087285586,-.35156986,-.0094166473,-13
.12842512,.10188438,-.071264602,.32811484,-12
-.046876956,.1172981,-.27677703,.18302311,-11
.033974823,.077479288,-.11788179,.18583143,-10
.011046519,.079357184,-.14449072,.16658375,-9
-.070390798,.080620527,-.22840412,.087622531,-8
.1158749,.064541161,-.010623455,.24237326,-7
-.16266471,.082274511,-.3239198,-.0014096264,-6
.053640477,.085341349,-.1136255,.22090645,-5
.090200707,.07640408,-.059548531,.23994996,-4
-.12790626,.087668777,-.29973391,.043921374,-3
.048007857,.050438415,-.050849624,.14686534,-2
0,0,0,0,-1
.0011812939,.064591497,-.12541571,.12777831,-1
.04576071,.060374569,-.07257127,.16409269,0
-.037210125,.065710969,-.16600126,.091581017,1
-.0040345704,.085027292,-.17068501,.16261587,2
-.011084006,.088820055,-.18516812,.16300011,3
-.1019153,.06455297,-.2284368,.024606192,4
.026217023,.078275748,-.12720062,.17963466,5
-.033339553,.080908872,-.19191803,.12523893,6
-.011445991,.094936162,-.19751744,.17462546,7
-.058899891,.099770375,-.25444624,.13664645,8
-.02262014,.099460252,-.21755865,.17231837,9
.0067340229,.095624134,-.18068583,.19415389,10
.099393472,.089812137,-.076635085,.27542204,11
-.10132363,.081540823,-.2611407,.058493458,12
-.044260245,.086063452,-.2129415,.12442102,13
.036404327,.10432643,-.16807172,.24088037,14
-.045234047,.10208825,-.24532333,.15485524,15
-.04185665,.17330389,-.38152602,.29781273,16
-.20231293,.14395456,-.48445868,.079832815,17
.13915771,.17948203,-.2126206,.49093601,18
-.062180135,.16712949,-.38974792,.26538762,19
.048459288,.19200203,-.32785779,.42477635,20
.032790788,.16272594,-.28614619,.35172778,21
.23463245,.17347802,-.10537824,.57464314,22
.055971038,.10365368,-.14718643,.25912851,23
.26452419,.19075584,-.10935037,.63839877,24
