theft_to_people_area_index1,theft_to_people_area_index0,lb,ub,exp
4.3702698,.93586797,2.5360022,6.2045374,-14
-.21496508,1.2166148,-2.5994864,2.1695561,-13
2.6239762,2.0139737,-1.3233396,6.5712919,-12
-.15668647,2.7667968,-5.5795083,5.2661357,-11
-.24556287,1.7206029,-3.6178825,3.1267567,-10
-2.4342923,.54265624,-3.497879,-1.3707056,-9
4.3378592,1.7227812,.96127033,7.7144485,-8
-5.1927199,3.6773984,-12.400289,2.0148485,-7
-.88461435,2.7094772,-6.1950922,4.4258633,-6
4.4205079,3.0746157,-1.6056281,10.446644,-5
5.2167444,4.6479282,-3.8930278,14.326517,-4
.68896061,4.3865218,-7.9084644,9.2863855,-3
2.0741637,3.3284564,-4.449491,8.5978184,-2
-3.8448279,3.3220527,-10.355931,2.6662757,-1
0,0,0,0,-1
3.714561,1.7819638,.22197609,7.2071462,0
5.5005064,3.2918861,-.95147169,11.952485,1
2.3511503,4.5530381,-6.5726399,11.27494,2
9.682044,6.2342639,-2.5368886,21.900978,3
20.41964,11.524529,-2.1680229,43.007301,4
21.321291,12.796685,-3.759752,46.402332,5
14.816356,11.812371,-8.3354664,37.968178,6
21.969889,15.229657,-7.8796902,51.819469,7
27.12841,14.811755,-1.9020972,56.158916,8
6.6681252,15.26598,-23.252645,36.588898,9
8.877964,18.14867,-26.692776,44.448704,10
6.0630698,19.749811,-32.645847,44.771988,11
6.5006323,18.684427,-30.120171,43.121437,12
-14.675602,4.26864,-23.041983,-6.3092217,13
