theft_to_people_index_eb1,theft_to_people_index_eb0,lb,ub,exp
3.8434339,.72782648,2.4169202,5.2699475,-14
.19654164,.63457406,-1.0472007,1.4402839,-13
1.4883839,1.1242933,-.71519071,3.6919584,-12
1.4277192,2.2240889,-2.9314148,5.7868533,-11
-3.5813432,2.4568682,-8.3967161,1.2340298,-10
.081475563,1.6866957,-3.2243872,3.3873384,-9
2.537451,2.1627967,-1.7015524,6.7764544,-8
-.091473922,3.4204292,-6.795392,6.6124444,-7
-3.6021059,2.7460012,-8.984169,1.7799575,-6
2.3960187,4.6221061,-6.6631422,11.455179,-5
1.7787883,4.9654107,-7.953238,11.510815,-4
-3.9868021,4.7800965,-13.355618,5.3820143,-3
5.2653356,6.7901578,-8.043129,18.573799,-2
0,0,0,0,-1
-3.0063658,5.1776767,-13.154426,7.1416941,-1
2.5297906,1.7948532,-.98805708,6.0476384,0
1.3348898,1.5833107,-1.7683421,4.4381218,1
-.39948693,3.005929,-6.2909994,5.4920254,2
3.1163883,5.4273019,-7.5209284,13.753705,3
8.1540651,6.814291,-5.2016997,21.50983,4
3.7583563,6.7016082,-9.3765545,16.893267,5
2.2966607,7.7694955,-12.931271,17.524591,6
1.8624589,10.123509,-17.979254,21.704172,7
3.6417813,14.75319,-25.273941,32.557503,8
-25.132401,9.8299627,-44.398773,-5.8660264,9
-23.967279,11.519907,-46.545883,-1.3886764,10
-23.749556,10.355158,-44.045292,-3.4538174,11
-23.588703,11.282037,-45.701088,-1.476316,12
-30.573862,8.4520292,-47.139534,-14.008188,13
