theft_to_people_log_index1,theft_to_people_log_index0,lb,ub,exp
-.0011682025,.047681622,-.094622463,.092286058,-24
-.012731499,.067033492,-.14411473,.11865174,-23
.053211085,.05431059,-.05323571,.15965788,-22
-.022356501,.043692745,-.10799271,.063279703,-21
.036024563,.055775702,-.073293798,.14534293,-20
.036282022,.044072669,-.050098822,.12266286,-19
.10282844,.054853097,-.0046816529,.21033855,-18
.011805288,.041154306,-.068855673,.09246625,-17
-.015986538,.03651695,-.087558441,.055585366,-16
.014043849,.042641986,-.069532908,.097620606,-15
.02523654,.039179452,-.051553775,.10202686,-14
.0081405193,.035427164,-.061295442,.077576481,-13
-.033158816,.035840087,-.1034041,.037086461,-12
.023391476,.040042687,-.055090748,.1018737,-11
-.025826059,.034609716,-.093659855,.042007737,-10
.0060884035,.027309386,-.047437008,.059613816,-9
-.067262076,.042533875,-.15062694,.016102789,-8
-.0380155,.04073732,-.11785918,.041828178,-7
.019919725,.037710957,-.053992391,.093831845,-6
.014888472,.038943257,-.061438907,.091215856,-5
-.0076807151,.046466462,-.098753311,.083391875,-4
-.10186704,.051357191,-.20252527,-.001208795,-3
.1249054,.041896835,.042789113,.20702168,-2
-.050139826,.052520111,-.15307735,.052797701,-1
0,0,0,0,-1
-.059764385,.050026998,-.1578155,.038286734,0
-.056388002,.056896683,-.16790345,.055127449,1
-.059252579,.062721074,-.18218362,.063678466,2
-.15726778,.065525383,-.28569517,-.028840385,3
-.0317971,.0872325,-.20276965,.13917546,4
.017081877,.088813931,-.15699023,.19115399,5
-.01563761,.10091428,-.21342598,.18215075,6
.0073543144,.11707412,-.22210675,.23681538,7
-.058480199,.10120746,-.25684318,.13988279,8
-.15800202,.12627128,-.40548918,.089485154,9
-.085265897,.10592346,-.29287207,.12234027,10
-.10505284,.10657831,-.31394249,.1038368,11
-.12453167,.1057816,-.3318598,.082796447,12
-.16690718,.11790989,-.39800629,.064191945,13
-.074874364,.14537047,-.35979524,.21004651,14
-.17497447,.17261869,-.5133009,.16335192,15
-.1744554,.15934972,-.48677513,.13786431,16
-.05664885,.16638373,-.38275498,.26945728,17
-.16433741,.18188341,-.52082235,.19214751,18
.25082517,.11398707,.027414622,.47423571,19
.19940367,.091725245,.0196255,.37918183,20
.061536115,.11782969,-.16940583,.29247805,21
.10313023,.16428874,-.21886981,.42513025,22
-.042575773,.18620579,-.40753242,.32238087,23
.0270571,.18464747,-.33484527,.3889595,24
