theft_to_vehicle_area_index1,theft_to_vehicle_area_index0,lb,ub,exp
-.1972973,.33495826,-.85380346,.45920882,-24
.19488747,.18665318,-.17094605,.56072098,-23
-.55377769,.24530596,-1.0345685,-.072986871,-22
.2528652,.40420336,-.53935879,1.0450892,-21
-.017732257,.28693312,-.58011085,.54464632,-20
.56068683,.28056568,.01078824,1.1105855,-19
-.10488062,.33341682,-.75836557,.54860431,-18
-.46524125,.33173537,-1.1154306,.18494812,-17
-.34508669,.8006714,-1.9143739,1.2242005,-16
.4352316,.52968645,-.60293478,1.473398,-15
.060714334,.49202442,-.9036358,1.0250645,-14
.13706526,.50409895,-.85095048,1.1250809,-13
-.11620817,.39695284,-.89422143,.66180509,-12
-.15426475,.31160957,-.76500827,.45647877,-11
.33015561,.34695157,-.34985697,1.0101682,-10
-.38333786,.42300892,-1.2124201,.4457444,-9
.2634452,.2578983,-.24202615,.76891655,-8
-.19587733,.27201679,-.72902042,.33726579,-7
.022162616,.31103554,-.58745587,.6317811,-6
.13303804,.5046528,-.85606331,1.1221395,-5
.50137216,.41625452,-.31447172,1.317216,-4
.076121308,.41839164,-.74391127,.89615387,-3
-.43410638,.41055825,-1.2387857,.37057301,-2
0,0,0,0,-1
-.45584676,.35165516,-1.1450782,.23338467,-1
.29535937,.34221396,-.37536767,.96608645,0
.16575073,.32383248,-.46894929,.80045074,1
.017519511,.35601136,-.68024993,.71528894,2
-.062239453,.41084278,-.86747652,.74299759,3
.19745709,.41859999,-.62298381,1.017898,4
.5328933,.69182056,-.82305002,1.8888367,5
.58342201,.74630988,-.87931842,2.0461624,6
.31106585,.81754863,-1.2913001,1.9134318,7
-.20457499,.77387208,-1.7213364,1.3121864,8
.50276971,.97953504,-1.4170837,2.4226232,9
.5939883,.83019799,-1.0331699,2.2211463,10
.68415886,.71813887,-.72336745,2.0916853,11
.45667553,.97865862,-1.46146,2.3748112,12
.69772714,.99487913,-1.2522001,2.6476545,13
.56915808,1.1388777,-1.6630013,2.8013175,14
.46157414,1.2382417,-1.965335,2.8884833,15
.83076906,1.3354238,-1.7866135,3.4481516,16
1.387212,2.2396636,-3.0024481,5.7768722,17
-.94769484,.51682431,-1.9606519,.065262228,18
-.75049281,.52387464,-1.7772682,.27628258,19
-.13952582,.55182695,-1.2210869,.9420352,20
-.38888943,.36262447,-1.0996203,.32184151,21
.89772743,.60830927,-.2945368,2.0899916,22
-.059652831,1.3782873,-2.7610462,2.6417406,23
-.49736351,.47369349,-1.4257857,.43105865,24
