theft_to_vehicle_index1,theft_to_vehicle_index0,lb,ub,exp
-.088390686,.17434478,-.43010017,.25331879,-24
.28440431,.22646873,-.15946624,.72827488,-23
-.50493646,.37277615,-1.2355642,.22569136,-22
.52966607,.50730294,-.46462944,1.5239615,-21
.23058857,.34452152,-.44466117,.90583831,-20
.5705235,.28871804,.0046465578,1.1364005,-19
-.52039665,.6105724,-1.7170966,.67630333,-18
-.56844628,.28922322,-1.1353134,-.0015791806,-17
.71682376,.50274891,-.26854604,1.7021936,-16
.33750522,.25960925,-.17131956,.84632999,-15
-.72141391,.68595564,-2.0658622,.62303442,-14
.078708649,.33568445,-.57922077,.73663807,-13
.40467975,.29835466,-.18008468,.98944414,-12
-.53324533,.38763347,-1.2929931,.22650233,-11
-.056837443,.38191831,-.80538356,.69170868,-10
.31320563,.39101318,-.4531661,1.0795773,-9
.14859146,.27082631,-.38221833,.67940128,-8
-.45923525,.35113981,-1.1474566,.22898617,-7
-.019746855,.22958764,-.46973035,.43023664,-6
-.016801976,.29843554,-.60172492,.56812096,-5
.50845665,.25112772,.01625536,1.0006579,-4
.0098730195,.28428006,-.54730564,.56705171,-3
-.40730837,.2475848,-.89256567,.077948928,-2
0,0,0,0,-1
-.10194315,.2121817,-.51781166,.31392533,-1
.026275273,.14542334,-.25874922,.31129977,0
.23226246,.22168288,-.20222801,.66675293,1
-.038897783,.16290084,-.35817754,.28038198,2
-.12809607,.21278855,-.54515398,.28896183,3
-.12623346,.19338433,-.50525981,.25279289,4
.28426859,.3246291,-.35199276,.9205299,5
.06837029,.23046841,-.38333949,.52008009,6
.12769876,.35221368,-.56262738,.81802493,7
-.30256668,.25347549,-.79936951,.19423617,8
-.12776791,.23599711,-.59031373,.33477795,9
.036189158,.32503372,-.60086524,.67324358,10
.24475673,.27989781,-.30383289,.79334635,11
-.13849257,.28167421,-.69056392,.41357875,12
-.062368579,.3163541,-.68241119,.55767405,13
.041343283,.34124768,-.62748992,.71017647,14
-.08693856,.31682715,-.70790833,.53403121,15
.086438596,.38168627,-.66165274,.83452994,16
.032175042,.42117462,-.79331207,.85766214,17
-.079057738,.2312863,-.53237057,.37425509,18
-.16548593,.16612728,-.49108943,.16011757,19
.011174603,.21314463,-.40658119,.4289304,20
.049323771,.2112038,-.36462805,.46327561,21
.39476734,.33427596,-.26040152,1.0499362,22
.15304661,.34381863,-.52082551,.82691872,23
-.52451229,.2369649,-.98895496,-.060069647,24
