theft_to_vehicle_index_eb1,theft_to_vehicle_index_eb0,lb,ub,exp
.061422735,.15154114,-.23559244,.35843793,-24
.26850152,.12849464,.016656663,.52034634,-23
-.08155477,.2135535,-.50011194,.3370024,-22
.16872826,.2596918,-.34025833,.67771488,-21
-.11841879,.18433633,-.47971138,.24287379,-20
.61226296,.22954594,.16236122,1.0621648,-19
-.38243723,.37333012,-1.1141508,.34927633,-18
-.099279702,.100329,-.29592094,.097361527,-17
.39285067,.19539286,.0098876934,.77581364,-16
.19660299,.23454706,-.2631008,.65630674,-15
-.4437252,.31070045,-1.0526869,.16523644,-14
.24775396,.27037838,-.28217793,.77768588,-13
.24759521,.1930971,-.13086817,.62605858,-12
-.35076544,.24814017,-.83711123,.13558035,-11
.088626668,.26053303,-.42200869,.59926206,-10
.15588523,.35043976,-.53096402,.84273452,-9
-.13881713,.22623372,-.58222705,.30459279,-8
-.12834565,.18824875,-.49730641,.24061511,-7
.087340765,.18057378,-.26657733,.44125885,-6
-.22300005,.29652259,-.80417365,.35817352,-5
.4582068,.23304167,.0014535062,.91496009,-4
.093058035,.2727651,-.44155174,.62766784,-3
-.33283895,.24613433,-.81525338,.14957546,-2
-.17895469,.16106915,-.49464443,.13673507,-1
0,0,0,0,-1
.08517722,.13875313,-.18677393,.35712838,0
.26183933,.14777847,-.027801165,.55147982,1
-.03764873,.13813275,-.30838394,.2330865,2
-.249008,.2141587,-.6687513,.17073533,3
-.033894833,.18351761,-.39358273,.32579306,4
-.06791003,.22971582,-.51814479,.3823247,5
-.13325505,.21408989,-.55286354,.28635341,6
-.22993633,.20863906,-.63886136,.17898871,7
-.30966732,.22317393,-.74708021,.12774555,8
-.05120049,.23735781,-.51641327,.41401228,9
-.2575134,.3044056,-.85413742,.33911058,10
.024345191,.28042054,-.52526897,.57395935,11
-.20188728,.30236459,-.79451096,.3907364,12
.044745844,.40898985,-.75685954,.84635121,13
-.029129066,.15735832,-.33754569,.27928755,14
.0072038672,.172104,-.3301138,.34452152,15
.21261775,.28653285,-.34897628,.77421182,16
-.27461785,.099054486,-.46876109,-.080474645,17
-.17245689,.11427822,-.39643809,.051524308,18
-.1030139,.089251556,-.27794373,.071915939,19
.080005258,.10727814,-.13025604,.29026654,20
-.35081121,.080962449,-.50949472,-.19212773,21
.48303279,.33350882,-.17063251,1.1366981,22
.46404755,.28344753,-.091499366,1.0195946,23
-.019393025,.10268929,-.22066033,.18187429,24
