tasa_total_homicidio1,tasa_total_homicidio0,lb,ub,exp
-.02028588,.038633,-.096005164,.055433407,-24
.030738657,.025167169,-.018588087,.080065399,-23
.078537464,.046296388,-.012201789,.16927673,-22
.37973553,.29756677,-.20348465,.96295571,-21
-.39801005,.29179201,-.96991187,.17389178,-20
-.054985978,.060649302,-.17385642,.063884474,-19
-.016233852,.032126669,-.079200968,.046733264,-18
.032264225,.038270667,-.042744901,.10727336,-17
.10369755,.13040042,-.15188259,.35927767,-16
.019598246,.065529592,-.1088374,.14803389,-15
-.076735891,.10944693,-.29124793,.13777615,-14
.16820167,.19803831,-.2199463,.55634964,-13
-.29041204,.29613265,-.87082136,.28999728,-12
.29932567,.29701275,-.28280863,.88146001,-11
-.10219187,.12481818,-.34683099,.14244728,-10
.09536013,.085579008,-.072371639,.26309189,-9
-.12891947,.087728009,-.30086321,.043024283,-8
.0065097366,.056880217,-.10497344,.11799292,-7
-.0081684813,.098242573,-.2007204,.18438344,-6
-.015760075,.033873644,-.082151197,.05063105,-5
-.13129039,.10714005,-.34128103,.078700259,-4
.16364492,.18080261,-.19072169,.51801151,-3
-.22867465,.17624238,-.57410336,.11675408,-2
.15950701,.088673852,-.014290549,.33330455,-1
0,0,0,0,-1
-.04057879,.046364952,-.13145243,.050294846,0
-.088067532,.083708651,-.25213349,.075998411,1
.090823457,.10359423,-.11221749,.2938644,2
.070045702,.11471137,-.15478446,.29487586,3
-.048738305,.059869748,-.16608085,.068604246,4
.048755676,.17096137,-.28632241,.3838338,5
-.061291259,.054061908,-.16725065,.044668134,6
-.10903527,.10820816,-.32111937,.10304882,7
-.023366712,.059961639,-.14088936,.094155937,8
-.066156931,.061815757,-.18731359,.054999724,9
-.11976276,.085120678,-.28659621,.047070693,10
-.17583796,.10806756,-.3876465,.03597058,11
-.21574122,.12028074,-.45148712,.020004697,12
-.11669313,.086444609,-.28612146,.052735191,13
-.19492862,.094063632,-.37928995,-.010567279,14
-.097233653,.072363734,-.23906396,.044596661,15
-.11050188,.070174888,-.24804214,.027038375,16
-.12514384,.066493176,-.25546807,.0051803882,17
-.15775923,.11641215,-.38592285,.070404388,18
-.045856252,.13025798,-.30115718,.20944469,19
-.016616737,.14288218,-.29666066,.2634272,20
-.093194574,.1142558,-.31713182,.13074268,21
-.24889845,.17175633,-.58553463,.087737754,22
-.1357765,.12070683,-.37235755,.10080454,23
-.17841509,.099900015,-.37421554,.017385343,24
