tasa_total_hurto1,tasa_total_hurto0,lb,ub,exp
.12100597,.95218277,-1.7452379,1.98725,-24
-1.5644829,2.6437402,-6.7461185,3.6171525,-23
11.179155,9.9550953,-8.3324728,30.690783,-22
-8.7541342,8.5370922,-25.486526,7.9782586,-21
6.14256,5.8552217,-5.3334637,17.618584,-20
-1.0478271,3.9618435,-8.8128977,6.7172432,-19
10.273426,10.072562,-9.4684324,30.015285,-18
-2.2008796,2.9088833,-7.9021859,3.500427,-17
11.502706,9.7882576,-7.6819263,30.687338,-16
-.086955771,2.2147472,-4.4277806,4.2538691,-15
-.60113013,4.630815,-9.6773605,8.4751005,-14
2.2676651,2.2043431,-2.0527678,6.588098,-13
4.7767425,4.364542,-3.7776029,13.331088,-12
-1.5493829,3.5032461,-8.4156189,5.3168535,-11
-11.145238,7.5457973,-25.934729,3.644253,-10
-8.7615938,10.829378,-29.986784,12.463597,-9
.84778452,1.3351008,-1.7689649,3.464534,-8
-2.5047631,3.2242196,-8.8241177,3.8145912,-7
2.0945015,1.9082414,-1.6455828,5.8345857,-6
-5.9518805,4.0247102,-13.840167,1.9364066,-5
1.8699743,1.8314692,-1.7196392,5.4595881,-4
-3.0859046,2.2042453,-7.406146,1.2343369,-3
4.2311859,2.6626811,-.9875735,9.4499445,-2
-1.7830703,2.7826347,-7.2369342,3.6707935,-1
0,0,0,0,-1
-2.451354,2.8057773,-7.9505768,3.0478685,0
-2.1762044,2.9951591,-8.046608,3.6941996,1
-2.6079443,3.6320179,-9.7265682,4.5106797,2
-2.9060874,4.5278368,-11.780484,5.9683099,3
-1.892562,5.7774296,-13.216116,9.4309921,4
-2.7393453,6.581995,-15.639819,10.161128,5
-3.8342471,7.1355538,-17.819675,10.151182,6
-4.5338492,7.8875966,-19.993256,10.925556,7
-4.9100842,8.1897688,-20.961737,11.141568,8
-7.7056069,8.0152111,-23.415133,8.0039196,9
-10.174861,8.516737,-26.867359,6.5176363,10
-11.558562,8.6617336,-28.535248,5.4181237,11
-13.773926,8.9582682,-31.331808,3.7839577,12
-15.36774,10.071611,-35.107735,4.3722558,13
-15.692842,11.665565,-38.556931,7.171247,14
-7.807889,11.199793,-29.759079,14.143302,15
-5.5600872,11.797406,-28.682579,17.562405,16
-.68347716,9.9485722,-20.18232,18.815367,17
1.7167786,3.587841,-5.3152604,8.7488174,18
1.6511886,3.3627024,-4.9395871,8.2419643,19
1.2877591,3.3169234,-5.2132912,7.7888093,20
.48775253,3.6199763,-6.6072707,7.5827756,21
.32567081,3.832701,-7.186285,7.8376269,22
-.35889947,3.6301448,-7.4738526,6.7560534,23
-.54703975,3.4026775,-7.2161651,6.1220856,24
