tasa_total_vehiculo1,tasa_total_vehiculo0,lb,ub,exp
.0097584073,.058182135,-.10427648,.1237933,-24
-.035623726,.04211659,-.11817072,.046923272,-23
-.064882137,.056550909,-.17571987,.045955606,-22
.25986999,.2402247,-.21096179,.73070174,-21
.020361457,.042357121,-.062656976,.10337989,-20
-.022064088,.044988643,-.11024021,.066112034,-19
.052032787,.11839094,-.18000919,.28407475,-18
-.055146802,.059453499,-.17167352,.061379913,-17
.013610836,.049618658,-.08363995,.11086162,-16
-.36536118,.30885664,-.97070903,.23998667,-15
.38918549,.39315817,-.38139036,1.1597613,-14
-.071600623,.12822661,-.32292014,.17971891,-13
.0091932695,.042007681,-.073140278,.091526814,-12
.083476722,.16861981,-.24701203,.41396549,-11
-.13799843,.28181744,-.69035047,.41435361,-10
.088878363,.048427582,-.0060379468,.18379468,-9
.18032186,.14009923,-.094267592,.45491129,-8
-.071057528,.11746873,-.301292,.15917695,-7
-.4758783,.29781434,-1.0595837,.10782709,-6
.17623132,.18248619,-.18143505,.5338977,-5
.092755497,.075172015,-.054578952,.24008994,-4
-.16374068,.19134969,-.5387792,.21129782,-3
-.13280191,.15912947,-.44468993,.17908612,-2
0,0,0,0,-1
-.024573501,.065213069,-.15238877,.10324176,-1
.048749357,.059602294,-.068068989,.16556771,0
.092245594,.083782516,-.071965113,.25645632,1
.17654519,.14224356,-.10224707,.45533744,2
.14716756,.18413307,-.21372662,.50806171,3
.17924945,.20921254,-.23079959,.58929849,4
.17054453,.21883884,-.25837171,.59946078,5
.23236953,.22740851,-.21334298,.67808205,6
.20272444,.22165473,-.23171085,.63715976,7
.18927771,.22337897,-.24853703,.62709242,8
.20184742,.23614793,-.26099402,.66468883,9
.19157994,.23185682,-.26285109,.64601094,10
.21068357,.23705536,-.25393641,.67530358,11
.24202992,.2569389,-.2615611,.74562097,12
.30570173,.2952815,-.27303937,.88444281,13
.33223301,.34543204,-.34480137,1.0092674,14
.54425049,.34907302,-.13992007,1.2284211,15
.56611443,.35054228,-.12093583,1.2531646,16
.69477361,.32907808,.049792383,1.3397548,17
.66655046,.35757464,-.034282934,1.3673838,18
.56765294,.35097364,-.12024271,1.2555486,19
.55600649,.34464279,-.119481,1.2314939,20
.5713374,.35171536,-.11801203,1.2606869,21
.60549569,.36425528,-.1084315,1.3194228,22
.58448404,.36674365,-.13432033,1.3032885,23
.55891711,.36148739,-.14958522,1.2674193,24
