tasa_total_violacion_maltrato1,tasa_total_violacion_maltrato0,lb,ub,exp
-.080455311,.20091806,-.47424749,.31333685,-24
.20216045,.18246296,-.15546039,.55978125,-23
-.12802099,.19793551,-.51596743,.25992545,-22
-.22801086,.26684803,-.75102341,.29500166,-21
.057827894,.10934625,-.15648681,.27214259,-20
.065829314,.19726147,-.32079607,.45245469,-19
-.18264782,.29009065,-.75121504,.38591939,-18
-.43299922,.2934773,-1.0082041,.14220572,-17
.76777095,.5283699,-.26781508,1.803357,-16
-.23554716,.19679993,-.62126791,.15017362,-15
-.17705758,.17381033,-.51771957,.16360442,-14
.30594712,.23876046,-.16201474,.77390903,-13
-.081099644,.16327964,-.40112185,.23892255,-12
-.080879487,.10301001,-.28277537,.12101641,-11
-.24076207,.31307977,-.85438716,.37286302,-10
.28747672,.23507033,-.17325267,.74820608,-9
.12706104,.091048717,-.051391169,.30551326,-8
-.54795051,.4311673,-1.3930229,.29712185,-7
.00033474877,.092809461,-.18156844,.18223794,-6
.54864371,.42008728,-.27471223,1.3719997,-5
-.33394277,.21552348,-.75636101,.088475488,-4
-.076296993,.11451811,-.30074838,.14815439,-3
-.1040115,.14520779,-.38861352,.18059053,-2
0,0,0,0,-1
.070265412,.14312175,-.21024808,.35077891,-1
-.12656368,.13810004,-.3972348,.14410742,0
.048101764,.15840657,-.26236939,.35857293,1
-.20725286,.14608131,-.49356696,.079061255,2
.16879603,.15130752,-.12776127,.46535334,3
.16667505,.24145153,-.30656126,.63991135,4
.19884656,.21216734,-.21699378,.61468691,5
.32009044,.24781692,-.1656218,.80580264,6
.413225,.29333892,-.16170873,.9881587,7
.3412874,.28117186,-.20979927,.8923741,8
.64864504,.37730587,-.090860859,1.3881509,9
.50063884,.29473633,-.077033766,1.0783114,10
.2984753,.30017537,-.28985763,.88680822,11
.31115794,.28597733,-.24934733,.87166321,12
.54673964,.34317616,-.1258733,1.2193525,13
.47257215,.39804786,-.3075873,1.2527316,14
.50116557,.40062603,-.28404704,1.2863781,15
.57664973,.32631114,-.062908366,1.2162079,16
.93249208,.34394276,.25837666,1.6066076,17
.83676779,.59416926,-.32778254,2.0013182,18
.76574785,.52482545,-.26289111,1.7943867,19
.95195973,.45923963,.051866598,1.8520528,20
1.1098071,.4366008,.25408524,1.965529,21
.84414262,.62485743,-.38055542,2.0688407,22
.68263727,.44500324,-.18955308,1.5548276,23
.95570081,.33417827,.30072346,1.6106782,24
