crime_index_eb1,crime_index_eb0,lb,ub,exp
-3.7141798,2.2767661,-8.3193741,.8910144,-24
-5.3938289,4.0749402,-13.636172,2.8485155,-23
1.3455065,5.2373185,-9.2479696,11.938983,-22
-10.453679,6.0932999,-22.778542,1.8711835,-21
-7.3570137,4.2044568,-15.86133,1.1473032,-20
-11.632064,7.3820748,-26.563721,3.2995923,-19
-5.1131134,5.8718891,-16.990131,6.7639036,-18
-4.8608232,5.9879565,-16.972609,7.2509623,-17
5.678915,14.198786,-23.04084,34.39867,-16
5.2950063,14.699473,-24.437487,35.027496,-15
.69031578,9.2792358,-18.078711,19.459341,-14
6.1809893,9.962183,-13.969428,26.331406,-13
17.677866,17.877699,-18.483192,53.838924,-12
16.861643,15.134976,-13.751737,47.475021,-11
7.0182018,9.3187799,-11.83081,25.867214,-10
-1.9837393,6.5742116,-15.281337,11.313859,-9
-1.9359432,7.5511794,-17.209646,13.337759,-8
-5.3646069,7.7182498,-20.97624,10.247026,-7
-3.9942286,8.4261608,-21.037748,13.049291,-6
-9.9321375,7.8489585,-25.808155,5.9438791,-5
-7.968637,8.5667076,-25.296438,9.3591642,-4
-11.552523,7.1564069,-26.027721,2.9226763,-3
-4.8279777,5.8289309,-16.618103,6.9621477,-2
0,0,0,0,-1
-6.6427484,3.9583187,-14.649203,1.3637071,0
-6.9132013,4.0562773,-15.117797,1.291394,1
-6.6424913,4.1731029,-15.083389,1.7984061,2
-7.5459399,4.8783035,-17.41324,2.3213608,3
-9.0713606,6.1294756,-21.469397,3.3266742,4
-10.72145,7.2692761,-25.42495,3.9820487,5
-4.2498507,6.4779491,-17.352739,8.8530378,6
-6.9328995,6.4541388,-19.987627,6.1218286,7
-7.9381623,7.9333563,-23.98489,8.1085653,8
-7.8773975,8.5051155,-25.080618,9.3258219,9
-4.119091,8.767292,-21.852613,13.614431,10
-4.8515859,8.9796114,-23.014565,13.311393,11
-5.829061,9.6531544,-25.354408,13.696287,12
-4.8541322,10.136844,-25.357834,15.64957,13
-1.3249778,9.9873638,-21.526329,18.876373,14
4.2095399,8.5302505,-13.04452,21.4636,15
3.0727861,8.2915392,-13.698436,19.844007,16
3.1448536,7.2388639,-11.49713,17.786839,17
3.1601393,6.0811915,-9.1402311,15.46051,18
3.0607314,5.7931919,-8.6571054,14.778568,19
2.9947419,5.7782617,-8.6928959,14.68238,20
2.7934458,6.9053016,-11.173845,16.760736,21
4.3753581,7.4131556,-10.619164,19.369881,22
2.6278405,7.3338265,-12.206224,17.461905,23
3.5543847,7.9181738,-12.461634,19.570402,24
