female_index1,female_index0,lb,ub,exp
-6.1733437,2.9962332,-12.160838,-.18584955,-24
-3.4830697,3.3253076,-10.128166,3.1620276,-23
-4.6942353,4.3915424,-13.470033,4.081562,-22
-5.090364,4.4809408,-14.04481,3.8640819,-21
-8.1337109,4.9392338,-18.003983,1.7365607,-20
-6.3301163,5.0995045,-16.520662,3.86043,-19
-5.1512618,5.1017718,-15.346339,5.0438156,-18
-5.3530269,4.6160793,-14.577526,3.8714719,-17
-5.8404484,5.3067198,-16.445082,4.764185,-16
-3.7842655,4.9721451,-13.720304,6.1517735,-15
-4.3881259,5.2528653,-14.885139,6.1088877,-14
-.15389019,4.148243,-8.4434919,8.1357117,-13
1.346167,4.4020181,-7.4505644,10.142899,-12
5.0576677,3.8033891,-2.5427992,12.658134,-11
2.1243522,4.3072534,-6.483007,10.731711,-10
6.316874,3.5948668,-.86689389,13.500642,-9
7.6682019,3.9309368,-.18714879,15.523552,-8
10.862473,5.8792686,-.88630843,22.611252,-7
13.915499,7.0145044,-.10186972,27.932867,-6
9.4785414,4.7432642,-.00011541964,18.957199,-5
11.996987,5.6885996,.62922901,23.364746,-4
9.4061365,5.1774287,-.94013,19.752403,-3
16.86533,8.4647074,-.050037138,33.780697,-2
0,0,0,0,-1
8.1285868,4.3737378,-.61163163,16.868805,0
8.4659576,4.5664001,-.65926403,17.591181,1
8.7898817,4.8785582,-.95913941,18.538902,2
9.0895596,4.7209573,-.34452078,18.523642,3
11.003926,5.7426267,-.47179705,22.47965,4
10.813145,5.2186275,.38454944,21.241739,5
9.2764854,5.1942968,-1.1034884,19.65646,6
9.0971498,5.350502,-1.5949746,19.789274,7
14.474114,9.1069393,-3.7246516,32.672882,8
19.016594,11.548932,-4.0621066,42.095295,9
25.799423,15.294048,-4.7632923,56.362141,10
30.394278,19.335314,-8.2442636,69.032822,11
31.685387,18.899899,-6.0830483,69.453819,12
36.642403,22.082785,-7.4865189,80.771324,13
41.426437,22.393723,-3.3238435,86.17672,14
40.56076,23.438725,-6.2777944,87.399315,15
25.678841,14.251248,-2.8000066,54.157688,16
5.3306742,5.4699321,-5.6001124,16.261461,17
2.8779068,6.3455753,-9.8027143,15.558527,18
10.434522,5.5140142,-.58435661,21.4534,19
4.7940478,3.757545,-2.714807,12.302902,20
.87986946,3.5900156,-6.2942042,8.0539436,21
-2.2946579,3.8927329,-10.073664,5.4843478,22
2.9789801,3.3472598,-3.7099845,9.6679449,23
.053340446,3.2736769,-6.4885807,6.5952616,24
