homicide_area_index1,homicide_area_index0,lb,ub,exp
.12961634,.077491179,-.02712436,.28635705,-24
.1197674,.09663827,-.075701945,.31523675,-23
.1722444,.18204567,-.1959777,.54046649,-22
.033261009,.078904696,-.12633881,.19286083,-21
-.13364564,.072757378,-.28081134,.013520063,-20
.23156098,.1590621,-.090172485,.55329442,-19
.10247228,.15039283,-.20172593,.40667048,-18
-.037731215,.10893499,-.25807303,.1826106,-17
.024915153,.10996029,-.19750051,.24733083,-16
-.0037823291,.081866607,-.16937317,.16180851,-15
.1116985,.11858312,-.12815849,.3515555,-14
.23710273,.19154064,-.15032478,.62453026,-13
.10483931,.10870379,-.11503486,.3247135,-12
.12130351,.10005834,-.081083573,.32369059,-11
.13769658,.096661106,-.05781896,.33321214,-10
-.0091417199,.085261643,-.18159968,.16331623,-9
.04583497,.10025755,-.15695505,.248625,-8
.058896903,.070246197,-.083189435,.20098324,-7
.016677743,.070626132,-.12617709,.15953258,-6
.062122297,.099069268,-.13826421,.26250881,-5
.14342971,.10607398,-.071125165,.3579846,-4
-.10372321,.094642133,-.29515499,.087708578,-3
.021094769,.089055158,-.15903628,.20122582,-2
0,0,0,0,-1
.053869545,.072109729,-.09198615,.19972524,0
.076293811,.07899113,-.08348082,.23606844,1
.045610365,.06352511,-.082881302,.17410202,2
.22501285,.12696588,-.031799879,.48182559,3
.0084243864,.08190807,-.15725031,.17409909,4
-.053037263,.097792633,-.25084153,.14476702,5
.082465127,.12101523,-.16231129,.32724154,6
.009277734,.15220428,-.29858446,.31713992,7
.0062615364,.081812777,-.15922043,.1717435,8
-.022635879,.098814391,-.22250685,.1772351,9
.26064938,.2249694,-.19439417,.715693,10
.097827792,.14504053,-.19554436,.39119995,11
.19993016,.23228298,-.26990652,.66976684,12
.11465521,.14461742,-.17786112,.40717155,13
.14013848,.1665006,-.19664076,.47691771,14
.25545973,.13803209,-.023736548,.53465599,15
-.059958115,.18652144,-.43723333,.3173171,16
.096858762,.079460494,-.063865259,.25758278,17
-.24971005,.23974039,-.73463076,.23521066,18
-.17504516,.16129784,-.50130087,.15121052,19
.13230807,.15677546,-.18480022,.44941637,20
-.17847711,.22041169,-.62430185,.2673476,21
.15613016,.15314336,-.15363151,.46589184,22
.001220259,.10255875,-.20622438,.20866489,23
.11581817,.079322957,-.044627659,.27626398,24
