homicide_index1,homicide_index0,lb,ub,exp
.18927319,.11337054,-.040040363,.41858673,-24
-.034929533,.11412754,-.26577428,.19591521,-23
-.0062082098,.15521467,-.32015949,.3077431,-22
-.11385803,.11170571,-.33980417,.1120881,-21
-.068548739,.081974767,-.23435836,.097260877,-20
-.066493481,.12248649,-.31424579,.18125883,-19
.040154446,.085117139,-.13201122,.2123201,-18
-.1756012,.098611422,-.37506163,.023859231,-17
-.11667681,.09747424,-.31383708,.080483459,-16
.017957134,.081752248,-.14740239,.18331666,-15
-.063625418,.1026836,-.27132261,.14407177,-14
.016684854,.1036633,-.19299395,.22636366,-13
.071247265,.15173358,-.23566285,.37815738,-12
-.025382413,.063901417,-.15463524,.10387041,-11
-.001696727,.061427992,-.12594657,.12255311,-10
-.1143792,.086964615,-.29028174,.061523337,-9
-.01228754,.07295987,-.1598628,.13528773,-8
-.042491771,.0837714,-.21193542,.12695189,-7
-.052755423,.057507653,-.16907562,.063564785,-6
-.058601201,.072680607,-.2056116,.0884092,-5
.061147947,.099730067,-.14057516,.26287106,-4
-.081264228,.057600103,-.19777143,.035242978,-3
.016546665,.083969191,-.15329707,.18639039,-2
0,0,0,0,-1
-.02008885,.048584554,-.11836039,.07818269,0
.028462341,.088391095,-.15032552,.20725021,1
.0026747747,.050236825,-.098938793,.10428834,2
.35606369,.24658746,-.14270653,.8548339,3
.049590901,.1060093,-.16483314,.26401493,4
.046905357,.11699081,-.18973088,.28354162,5
.0075119552,.068905219,-.13186201,.14688592,6
-.044634324,.075287901,-.19691847,.10764983,7
-.055795662,.069002718,-.19536683,.083775505,8
-.055602469,.060446016,-.17786609,.066661142,9
.18311432,.096623845,-.012325852,.37855449,10
.050637625,.079935908,-.11104801,.21232326,11
.041049011,.094515584,-.1501268,.23222482,12
.00067418325,.076991089,-.155055,.15640336,13
.07400924,.06923189,-.066025473,.21404396,14
.24843536,.10883248,.028300896,.46856984,15
.0446833,.098379046,-.1543071,.24367371,16
.04448016,.061282318,-.07947503,.16843535,17
-.057942037,.16065308,-.38289356,.2670095,18
.046686675,.11955311,-.19513233,.28850567,19
.077174395,.091405973,-.10771164,.26206043,20
.020661853,.12663819,-.23548807,.27681178,21
.1083409,.13652773,-.16781251,.3844943,22
-.00093655894,.083667636,-.17017032,.1682972,23
.082114451,.062469367,-.044241764,.20847067,24
