homicide_index_eb1,homicide_index_eb0,lb,ub,exp
.1186941,.054558627,.0071091806,.23027903,-24
.01646788,.064980343,-.11643185,.14936762,-23
-.015615584,.071028806,-.16088581,.12965463,-22
.021804137,.082561255,-.14705259,.19066086,-21
-.0021841098,.059630491,-.12414216,.11977393,-20
.099784657,.12297934,-.15173633,.35130563,-19
.053217802,.069136217,-.088181637,.19461724,-18
-.04765702,.080357425,-.2120064,.11669237,-17
-.023688907,.078515455,-.18427104,.13689323,-16
-.024773961,.051612642,-.13033366,.080785744,-15
.050972242,.078186095,-.10893628,.21088076,-14
.010638478,.063193262,-.11860625,.13988321,-13
.070656672,.10730071,-.14879791,.29011127,-12
.019564789,.06200866,-.10725716,.14638674,-11
.079180062,.071504369,-.067062795,.22542292,-10
-.047764387,.066728272,-.18423903,.088710248,-9
.048915226,.084905982,-.124737,.22256745,-8
-.0060630068,.065349586,-.13971792,.12759191,-7
-.019770406,.057995625,-.13838477,.098843962,-6
.0023643188,.067835778,-.13637543,.14110407,-5
.11855689,.11689542,-.12052108,.35763487,-4
-.014296688,.066867843,-.15105678,.12246341,-3
.08292561,.10583293,-.13352704,.29937825,-2
0,0,0,0,-1
.00081636361,.059948295,-.12179167,.1234244,0
-.0022000598,.059281182,-.12344369,.11904357,1
.044731155,.053259697,-.064197153,.15365946,2
.3125442,.22580566,-.14928022,.77436864,3
-.0052142842,.047636889,-.10264266,.092214093,4
-.033951424,.047007836,-.13009325,.062190402,5
.029704798,.065532297,-.1043238,.16373339,6
.011447352,.070524827,-.13279212,.15568681,7
-.0013306296,.056670465,-.11723474,.11457349,8
.0038907335,.064247429,-.12751001,.13529149,9
.23495255,.11906141,-.0085553713,.47846049,10
.031161394,.10376038,-.1810524,.2433752,11
.17945163,.15780628,-.14329846,.50220174,12
.10383534,.073259331,-.045996819,.2536675,13
.26245132,.16509038,-.075196415,.60009909,14
.14242005,.12343136,-.11002542,.39486551,15
-.030570881,.14909895,-.33551246,.2743707,16
.077350445,.097539231,-.12213968,.27684057,17
-.01641353,.13373165,-.28992546,.25709841,18
.04783738,.1189718,-.19548729,.29116204,19
.11077202,.12072601,-.13614039,.35768443,20
-.070020348,.15986553,-.39698207,.25694138,21
.12008552,.18820456,-.26483601,.50500709,22
.033219393,.12720101,-.22693588,.29337466,23
.11854598,.10702121,-.10033697,.33742893,24
