homicide_log_index1,homicide_log_index0,lb,ub,exp
.10999002,.062012982,-.015443081,.2354231,-24
.0014096104,.047538258,-.094745591,.097564816,-23
.0035771898,.057503678,-.11273498,.11988936,-22
-.029358352,.049078569,-.12862913,.069912426,-21
-.043591686,.051263895,-.1472827,.06009933,-20
-.00058479927,.053051315,-.10789121,.10672161,-19
.028430706,.054324444,-.081450857,.13831227,-18
-.075331397,.042936921,-.16217951,.011516725,-17
-.038975067,.046366621,-.13276041,.054810274,-16
.028664839,.049626727,-.071714692,.12904437,-15
-.021379557,.048017047,-.1185032,.075744085,-14
.017350938,.04698246,-.077680059,.11238194,-13
.036256578,.065965466,-.097171172,.16968434,-12
.0091664018,.032761633,-.057100259,.075433061,-11
.01813524,.036320593,-.05533009,.091600575,-10
-.043265726,.044388659,-.13305026,.04651881,-9
.01023664,.044984013,-.080752119,.1012254,-8
-.0053298473,.037881054,-.081951514,.071291819,-7
-.0076310984,.032884091,-.074145451,.058883253,-6
-.015651992,.039585683,-.095721595,.064417616,-5
.031849723,.051749729,-.072823986,.13652343,-4
-.050020885,.039821804,-.13056809,.030526318,-3
.0060948357,.045813382,-.086571477,.098761149,-2
0,0,0,0,-1
-.00043146274,.035776623,-.072796509,.071933582,0
.011363043,.048091374,-.085910939,.10863703,1
.01423574,.035097148,-.056754943,.085226424,2
.12363082,.075402431,-.02888499,.27614665,3
.015769774,.055192888,-.095868379,.12740792,4
.025325168,.059660532,-.095349647,.14599998,5
.020768058,.044631276,-.069507219,.11104333,6
-.036867477,.044779561,-.12744269,.053707737,7
-.02852538,.041132946,-.11172462,.054673854,8
-.037260972,.038784802,-.11571064,.041188695,9
.10223795,.056667466,-.012382811,.21685871,10
.022617858,.051890999,-.082341596,.1275773,11
.0076352339,.050203837,-.093911611,.10918208,12
.0044991313,.049852941,-.096337967,.10533623,13
.031262979,.046108872,-.062001012,.12452697,14
.14904217,.068939008,.0095998738,.28848448,15
.012367916,.066852555,-.12285414,.14758998,16
.01490155,.036686525,-.059303951,.089107051,17
-.040090755,.079657547,-.20121334,.12103184,18
-.0049643605,.060020879,-.12636805,.11643933,19
.03261726,.067665078,-.10424828,.1694828,20
-.027308028,.064103395,-.15696938,.10235333,21
.03376171,.072571494,-.11302799,.18055141,22
-.045093995,.04506918,-.13625501,.046067026,23
.030600587,.034031373,-.038234361,.099435538,24
