male_index1,male_index0,lb,ub,exp
-3.0855029,3.2274015,-9.5349503,3.3639445,-24
-2.4080439,3.0580494,-8.5190687,3.7029805,-23
-1.3646837,3.5292964,-8.4174194,5.6880522,-22
-2.9954407,4.0890207,-11.166697,5.1758151,-21
-6.1538706,4.0197425,-14.186686,1.8789443,-20
-1.517038,4.2948718,-10.099654,7.065578,-19
-.5137738,3.9402854,-8.3878059,7.3602586,-18
.34229296,3.8199995,-7.2913671,7.9759531,-17
-1.5656221,4.0618739,-9.6826296,6.5513854,-16
-.041473821,4.0954432,-8.225564,8.1426163,-15
1.3010719,3.9744022,-6.6411371,9.2432804,-14
3.637861,4.2552791,-4.8656359,12.141358,-13
7.5430279,4.7422323,-1.9335675,17.019623,-12
8.7679701,4.2076902,.35957193,17.176369,-11
9.1913671,4.5727367,.053481337,18.329252,-10
10.196985,4.6470776,.91054153,19.483429,-9
12.229709,4.9941354,2.2497261,22.209692,-8
12.160821,5.2263374,1.7168183,22.604822,-7
12.046054,5.486815,1.0815289,23.010578,-6
12.159274,5.0115824,2.1444254,22.174122,-5
14.598612,5.541326,3.5251548,25.672068,-4
11.341276,5.3713083,.60757297,22.074978,-3
15.300539,6.1106234,3.0894327,27.511646,-2
0,0,0,0,-1
14.626216,5.8269973,2.9818904,26.27054,0
13.550712,5.5433888,2.4731333,24.62829,1
13.670657,5.6122952,2.4553804,24.885935,2
14.410935,5.5468383,3.3264644,25.495407,3
18.225048,7.2674031,3.7023015,32.747795,4
15.940459,6.2731433,3.404583,28.476336,5
15.424174,6.4655967,2.5037107,28.344639,6
15.491915,6.9276423,1.6481264,29.335703,7
23.683832,11.120337,1.4616126,45.906052,8
32.518406,16.484039,-.4223164,65.459129,9
36.86319,16.621296,3.6481812,70.078201,10
42.750736,19.674522,3.4343407,82.067131,11
40.168785,19.144512,1.9115292,78.426041,12
46.349751,22.757605,.87230861,91.827194,13
48.838585,22.248997,4.3775144,93.29966,14
55.771633,25.58445,4.6451907,106.89807,15
38.810753,16.069237,6.6989446,70.922562,16
8.8196878,4.5322218,-.23723476,17.876612,17
7.7467942,4.7599111,-1.7651285,17.258717,18
7.9238558,4.7021537,-1.4726485,17.32036,19
5.0880933,4.153873,-3.2127597,13.388947,20
.10590893,4.3960876,-8.6789713,8.890789,21
-1.4974092,4.3959332,-10.281981,7.2871623,22
.59221894,3.1995559,-5.8015833,6.9860215,23
-1.902343,3.6931884,-9.2825918,5.4779053,24
