sexual_area_index1,sexual_area_index0,lb,ub,exp
-.45499346,.32620177,-1.1147988,.20481192,-24
-.25308919,.38216209,-1.026085,.51990658,-23
-.17361426,.29742613,-.77521545,.42798689,-22
-.1622407,.42641699,-1.0247505,.70026904,-21
.4885526,.98341334,-1.5005885,2.4776938,-20
-.610048,.30511561,-1.2272025,.0071066194,-19
-.29662308,.4007332,-1.1071825,.51393634,-18
.34218809,.65030122,-.97317034,1.6575465,-17
.24288872,.6072017,-.98529261,1.4710701,-16
.61819077,1.0451157,-1.4957553,2.732137,-15
-.31193477,.57958788,-1.4842619,.86039239,-14
.13000907,.56439382,-1.0115851,1.2716032,-13
.12482104,.44465184,-.77457219,1.0242143,-12
-.046443019,.46444964,-.98588109,.89299506,-11
-.52021033,.37859163,-1.2859842,.24556355,-10
-.21239728,.48146528,-1.1862527,.76145816,-9
-.47400153,.44468668,-1.3734652,.42546216,-8
-.36077961,.42104828,-1.2124301,.49087092,-7
-.23214051,.41297111,-1.0674534,.60317242,-6
-.35127342,.42252329,-1.2059075,.50336063,-5
-.48183921,.45765606,-1.407536,.44385758,-4
-.72212672,.41768992,-1.5669843,.12273084,-3
-.27485996,.24079771,-.76191932,.21219939,-2
0,0,0,0,-1
.62074399,.29691443,.020177886,1.2213101,0
.35910103,.26021698,-.16723748,.88543957,1
.26389176,.26100236,-.26403537,.79181886,2
.12733045,.37816536,-.63758117,.89224213,3
.59884042,.55066806,-.51499081,1.7126716,4
-.11485638,.39145833,-.90665561,.67694283,5
-.25557771,.4874714,-1.2415817,.73042625,6
-.48784962,.5520823,-1.6045414,.62884218,7
.16501769,.35158339,-.54612684,.87616223,8
.3444905,.35614666,-.37588412,1.0648651,9
.57674158,.54715532,-.52998447,1.6834676,10
.32243258,.61035556,-.91212803,1.5569932,11
.34785822,.5182178,-.70033622,1.3960527,12
.57712597,.53194201,-.49882826,1.6530802,13
.58890373,.61646932,-.65802318,1.8358307,14
.82380879,.88374954,-.96374345,2.611361,15
.40645275,.87995321,-1.3734206,2.186326,16
.23033844,1.0483267,-1.8901026,2.3507795,17
.25503984,.53077269,-.81854934,1.328629,18
-.47204235,.44312945,-1.3683562,.42427158,19
.93931377,.49577618,-.063488208,1.9421158,20
1.3953791,.3512162,.68497729,2.1057808,21
2.0573256,.71522796,.61064059,3.5040109,22
1.4202867,.74943745,-.095593654,2.936167,23
1.785346,.32285362,1.1323129,2.438379,24
