sexual_index1,sexual_index0,lb,ub,exp
-.78156567,.69084144,-2.1654875,.60235608,-24
-.6916883,.62763238,-1.9489871,.56561047,-23
-.48522079,.70120662,-1.8899064,.91946489,-22
-1.3710114,.8892681,-3.1524293,.41040671,-21
-1.3095793,1.0244991,-3.3618975,.7427389,-20
-1.7245079,.8044166,-3.335948,-.11306785,-19
-1.0193701,.70780361,-2.4372711,.3985309,-18
-.10180289,.79108381,-1.6865342,1.4829284,-17
1.0180634,1.6068248,-2.2007933,4.2369199,-16
1.7543361,1.6908702,-1.6328839,5.1415563,-15
-.75003326,.58643156,-1.9247968,.42473033,-14
-.188005,.40917528,-1.0076816,.63167155,-13
2.4914258,2.07019,-1.6556631,6.6385145,-12
1.5953003,1.4715846,-1.3526378,4.5432386,-11
.35881954,1.2498565,-2.1449437,2.8625829,-10
.08411748,.74237764,-1.4030436,1.5712786,-9
-.78076649,.58282924,-1.9483137,.38678077,-8
-.37855485,.6918276,-1.764452,1.0073423,-7
-.21621637,.55230683,-1.3226199,.8901872,-6
-1.4952148,.69751298,-2.8925011,-.09792836,-5
-1.2064682,.8823989,-2.9741256,.56118912,-4
-1.5947697,.66103369,-2.9189792,-.27056012,-3
-1.3346534,.64728177,-2.6313145,-.037992086,-2
0,0,0,0,-1
-.15350583,.72164136,-1.5991272,1.2921156,0
-.66401243,.61529827,-1.896603,.56857812,1
-.71594548,.56217813,-1.8421236,.41023266,2
-.75346291,.58864945,-1.9326695,.42574367,3
-.98756343,.71567881,-2.4212403,.44611347,4
-1.2214024,.70499146,-2.6336701,.1908652,5
-.67566925,.64644891,-1.970662,.61932355,6
-1.3236971,.71575165,-2.75752,.11012576,7
-1.5999945,.71304631,-3.0283978,-.17159115,8
-1.0321703,.61852551,-2.2712259,.20688511,9
-1.3723749,.89675432,-3.1687896,.42403987,10
-1.7845685,.93616182,-3.6599259,.090788916,11
.28425941,.59494269,-.90755397,1.4760728,12
.12801491,.60031396,-1.0745585,1.3305882,13
-.7101016,.77428162,-2.261174,.84097093,14
-.31951451,.69944489,-1.7206709,1.081642,15
-.2265449,.91827345,-2.0660677,1.6129779,16
.066987395,.64912045,-1.2333571,1.3673319,17
.26076263,1.3984534,-2.5406761,3.0622013,18
2.0937541,2.7229328,-3.3609357,7.5484438,19
.37502435,1.0944328,-1.8173879,2.5674367,20
-.41192719,.68024349,-1.7746186,.9507643,21
-.097263128,.67959875,-1.458663,1.2641368,22
1.4058615,1.4020411,-1.4027642,4.2144871,23
.83353531,.79412651,-.75729126,2.4243619,24
