sexual_index_eb1,sexual_index_eb0,lb,ub,exp
-.49154794,.34840718,-1.1894914,.20639551,-24
-.45678174,.33707827,-1.1320306,.21846718,-23
-.49331722,.29923236,-1.0927516,.10611722,-22
-.64862257,.3721168,-1.394062,.096816994,-21
-.50661063,.50647932,-1.5212107,.50798935,-20
-1.1797156,.49521318,-2.1717467,-.18768446,-19
-1.0071062,.49859446,-2.0059109,-.008301435,-18
-.45489052,.41377285,-1.2837771,.37399614,-17
.57605851,1.1732138,-1.7741712,2.9262881,-16
1.0787427,1.2378731,-1.4010152,3.5585005,-15
-.50785524,.39842513,-1.3059968,.29028624,-14
-.34773204,.31262195,-.97398907,.27852502,-13
1.4734869,1.4337323,-1.3986239,4.3455977,-12
.54437518,.82004064,-1.0983636,2.187114,-11
.10449065,.97876972,-1.8562207,2.065202,-10
-.13372315,.60070008,-1.33707,1.0696237,-9
-.66547787,.4341141,-1.535113,.20415719,-8
-.10855591,.57774377,-1.2659158,1.0488039,-7
-.27445012,.46957579,-1.2151235,.66622323,-6
-1.109511,.47040686,-2.0518491,-.16717291,-5
-1.0136013,.58891118,-2.1933322,.16612953,-4
-1.3108013,.51455778,-2.3415842,-.28001821,-3
-1.0800825,.50009203,-2.0818872,-.078277782,-2
0,0,0,0,-1
-.28786734,.55611777,-1.4019051,.82617044,0
-.53817481,.446982,-1.4335873,.35723773,1
-.63224363,.42799854,-1.4896277,.22514047,2
-.6890049,.44161537,-1.5736668,.19565699,3
-.76269019,.51879942,-1.8019704,.27658987,4
-1.0210179,.53991216,-2.102592,.060556214,5
-.62808436,.5601052,-1.7501099,.49394125,6
-1.1257077,.62288058,-2.3734875,.12207199,7
-1.2603195,.61166382,-2.4856293,-.035009637,8
-.81480813,.50047457,-1.8173791,.18776289,9
-.99423808,.69446445,-2.3854175,.39694139,10
-1.3765576,.71705103,-2.8129833,.059868161,11
.16920045,.51013619,-.85272509,1.191126,12
-.026928255,.5039795,-1.0365205,.98266399,13
-.5814541,.58081293,-1.7449622,.58205402,14
-.23645875,.5040735,-1.2462393,.77332187,15
-.15472837,.73913389,-1.6353915,1.3259348,16
.077414334,.48462212,-.89340043,1.0482291,17
.2355123,1.1833602,-2.1350429,2.6060677,18
1.9835712,2.5732701,-3.1713085,7.1384506,19
.37894219,.87121648,-1.3663142,2.1241984,20
-.47469962,.59923369,-1.6751089,.72570974,21
-.13033392,.57350302,-1.2791985,1.0185306,22
1.2523472,1.1866775,-1.1248534,3.6295478,23
.54836959,.54095662,-.53529674,1.6320359,24
