sexual_log_index1,sexual_log_index0,lb,ub,exp
-.060681392,.089970894,-.24266469,.12130192,-24
-.065991685,.077480733,-.22271127,.090727888,-23
-.026113419,.1044859,-.2374561,.18522926,-22
-.20281142,.11498535,-.43539125,.029768389,-21
-.12743342,.14597802,-.42270184,.16783498,-20
-.23059595,.11017856,-.45345312,-.0077387681,-19
-.15646172,.11569768,-.39048237,.077558942,-18
-.040422779,.10194643,-.2466289,.16578333,-17
.012077854,.098367013,-.1868882,.21104391,-16
.075054534,.10914256,-.14570712,.29581618,-15
-.042969018,.091363512,-.22776917,.14183113,-14
.021777732,.089897662,-.16005746,.20361291,-13
.073887073,.11996931,-.16877376,.3165479,-12
.039681986,.10969074,-.18218848,.26155245,-11
-.11057623,.07812386,-.26859665,.047444187,-10
-.036789689,.077280417,-.19310409,.11952472,-9
-.12958604,.098130308,-.32807332,.068901241,-8
-.087166257,.091865472,-.2729817,.098649204,-7
-.0093468288,.07407897,-.15918569,.14049204,-6
-.157603,.070861891,-.3009347,-.014271294,-5
-.063522726,.098944224,-.26365632,.13661085,-4
-.16919436,.065394498,-.30146721,-.036921497,-3
-.10189339,.06374523,-.23083028,.027043507,-2
0,0,0,0,-1
.032541029,.042774696,-.053978957,.11906102,0
-.028153149,.061477762,-.15250365,.096197359,1
-.085450388,.086475372,-.26036334,.089462556,2
-.08745449,.093046039,-.27565786,.10074889,3
-.009932586,.11835738,-.24933299,.22946782,4
-.20449185,.11196203,-.43095645,.021972729,5
-.11400981,.076528236,-.26880276,.040783152,6
-.13242559,.087240443,-.30888605,.044034861,7
-.12784979,.092029318,-.31399664,.058297072,8
-.031905089,.066042632,-.16548893,.10167874,9
-.0028120936,.060686372,-.12556186,.11993768,10
-.14959753,.093083486,-.33787665,.038681597,11
-.12057177,.074427083,-.27111474,.029971208,12
-.077302359,.077818394,-.23470493,.080100201,13
-.05135294,.091464646,-.23635764,.13365176,14
.069097504,.10316767,-.1395788,.2777738,15
.013174,.1004441,-.18999338,.21634138,16
-.056701191,.14741333,-.35487279,.24147043,17
-.086877525,.1115647,-.31253842,.13878337,18
-.17594142,.096502386,-.37113592,.019253071,19
.15837523,.10974039,-.063595667,.38034612,20
.12129882,.080719098,-.041970976,.28456861,21
.174472,.10091879,-.029655524,.37859952,22
.078310005,.13525663,-.19527236,.35189238,23
.13467593,.075959489,-.018966623,.28831851,24
