theft_to_motorbike_area_index1,theft_to_motorbike_area_index0,lb,ub,exp
-.834759,.26651531,-1.3738371,-.29568091,-24
-.4805398,.28133804,-1.0495996,.088520087,-23
-.39155847,.23047839,-.85774499,.074628077,-22
-.22794887,.27770844,-.78966719,.33376944,-21
-.48658061,.2784346,-1.0497677,.076606542,-20
.050761294,.20849675,-.37096319,.47248578,-19
-.31273612,.24651083,-.81135136,.1858791,-18
-.53599149,.32855394,-1.2005546,.12857156,-17
-.92234784,.36368439,-1.6579689,-.18672673,-16
-1.0497472,.42951035,-1.9185139,-.18098053,-15
-.81918097,.43316689,-1.6953437,.05698175,-14
-.67792147,.54347569,-1.7772049,.42136183,-13
-.38184404,.35658938,-1.1031141,.33942601,-12
-.12483391,.41985011,-.97406089,.72439307,-11
-.078453586,.51154155,-1.1131439,.95623678,-10
-.22073273,.49959004,-1.231249,.78978348,-9
-.36324683,.36078489,-1.0930032,.3665095,-8
-.11228827,.32090843,-.76138681,.53681028,-7
-.34572232,.40682194,-1.1685973,.47715271,-6
-.13158309,.44083476,-1.0232556,.76008934,-5
.36328995,.54861861,-.74639589,1.4729759,-4
-.40019059,.36514267,-1.1387614,.33838019,-3
-.091350712,.27067837,-.63884944,.456148,-2
0,0,0,0,-1
.0045552114,.19801407,-.39596605,.40507647,0
.13489385,.23523781,-.34091952,.61070722,1
-.11509088,.31874427,-.75981206,.5296303,2
-.34099588,.33436698,-1.0173169,.33532512,3
-.5277229,.41457286,-1.3662757,.31082988,4
-.15146281,.44290125,-1.0473151,.74438953,5
-.53072214,.37650838,-1.2922822,.23083793,6
-.46092016,.42269969,-1.3159109,.39407068,7
-.59564519,.38269001,-1.3697088,.17841846,8
-.48060352,.3780168,-1.2452146,.28400761,9
-.0026013548,.3904613,-.79238385,.78718114,10
.89173496,.66176271,-.44680646,2.2302763,11
.013615117,.48949826,-.97648853,1.0037187,12
-.22861612,.46620932,-1.1716135,.71438128,13
-.055457819,.36176586,-.78719836,.6762827,14
-.34397462,.31219938,-.97545749,.28750822,15
-.6127094,.47851145,-1.5805901,.35517138,16
-1.3709353,.55083942,-2.4851131,-.25675732,17
-.28627139,.5392769,-1.3770618,.80451906,18
-.89872724,.48005456,-1.8697293,.072274759,19
-.34038368,.40047249,-1.1504158,.46964839,20
-.24351364,.46021029,-1.1743768,.68734956,21
.64484912,.36678898,-.097051665,1.3867499,22
-.02456272,.56845331,-1.174368,1.1252426,23
.80744469,1.0517988,-1.3200191,2.9349084,24
