theft_to_motorbike_index1,theft_to_motorbike_index0,lb,ub,exp
-.9439941,.38070202,-1.7066319,-.18135633,-24
-.18269522,.28991133,-.76345742,.39806694,-23
-.23281033,.30588266,-.84556693,.37994623,-22
-.38963041,.31036025,-1.0113567,.23209588,-21
-.17506826,.35490564,-.88602972,.5358932,-20
.42087582,.51311547,-.60701793,1.4487696,-19
-.0016414335,.3620654,-.72694558,.72366267,-18
.023755942,.51665443,-1.0112273,1.0587392,-17
-.072407223,.64709097,-1.3686862,1.2238717,-16
-.41986668,.34117094,-1.1033142,.2635808,-15
.15691307,.33446527,-.51310134,.82692748,-14
-.49789047,.34809816,-1.1952149,.19943397,-13
.33248839,.40818027,-.48519495,1.1501718,-12
-.27994549,.31188589,-.904728,.34483701,-11
-.13263613,.21562377,-.56458241,.29931015,-10
-.13234454,.27726653,-.68777615,.42308706,-9
-.36901608,.26906595,-.90801996,.1699878,-8
.073359214,.17709981,-.28141436,.42813277,-7
-.3109791,.26251259,-.83685499,.2148968,-6
.042990357,.28171223,-.52134705,.60732776,-5
.54128689,.37263155,-.20518382,1.2877575,-4
-.2850951,.2655994,-.81715465,.24696445,-3
-.095995039,.2156363,-.52796644,.33597636,-2
0,0,0,0,-1
.019046001,.14069684,-.26280364,.30089563,0
-.14288385,.21689247,-.57737166,.29160398,1
-.022281846,.18183762,-.38654637,.34198266,2
-.20071073,.25203454,-.70559657,.30417511,3
-.38758463,.21259952,-.81347263,.03830339,4
-.30704269,.2612825,-.83045441,.21636903,5
-.27596226,.27299136,-.82282966,.27090514,6
-.242183,.27486983,-.79281342,.30844742,7
.030118421,.24538277,-.46144235,.52167916,8
.39277443,.38072199,-.36990339,1.1554523,9
.54591429,.30036855,-.055796232,1.1476249,10
.68672127,.26249069,.16088922,1.2125533,11
.0014242731,.29136208,-.5822441,.58509266,12
.040557224,.23043813,-.42106581,.50218028,13
-.30350012,.35249341,-1.0096292,.40262905,14
-.32251996,.3015618,-.92662084,.28158092,15
-.20343862,.29759565,-.79959434,.39271712,16
-.42637557,.2150874,-.85724741,.0044962773,17
.011381635,.23369409,-.45676389,.47952715,18
-.034672588,.222828,-.4810507,.41170552,19
-.10999954,.2563149,-.62345999,.40346089,20
-.013887089,.26878312,-.55232435,.5245502,21
-.25929984,.27911064,-.81842566,.29982597,22
.17039348,.23836654,-.3071121,.64789903,23
.19025289,.1820129,-.17436278,.55486858,24
