theft_to_motorbike_index_eb1,theft_to_motorbike_index_eb0,lb,ub,exp
-.43396777,.20262653,-.84838557,-.019550012,-24
.0038002811,.12763475,-.25724211,.26484266,-23
-.25739375,.16994961,-.60497975,.090192214,-22
-.24926285,.24153459,-.74325657,.24473085,-21
-.26464042,.1340519,-.53880733,.0095265135,-20
.030088967,.14785986,-.27231839,.33249632,-19
-.093271807,.15080513,-.40170294,.21515933,-18
-.098865986,.21713679,-.54296058,.34522858,-17
-.02183754,.2244823,-.48095539,.43728033,-16
-.23207274,.18443076,-.609276,.14513052,-15
.071579181,.15428038,-.24395964,.38711798,-14
-.28351909,.29604617,-.88900149,.32196331,-13
.011918831,.2006989,-.39855653,.42239419,-12
.01672269,.21060087,-.41400445,.44744983,-11
.009611248,.23172608,-.46432179,.48354429,-10
-.020355755,.25727066,-.54653329,.50582182,-9
-.19186515,.23294137,-.66828376,.28455347,-8
-.018155286,.15081471,-.32660601,.29029545,-7
-.2041731,.22097971,-.65612733,.24778114,-6
.046442609,.20148949,-.36564967,.4585349,-5
.37970603,.29613295,-.22595389,.98536593,-4
-.16143875,.21110785,-.59320277,.27032527,-3
-.020221699,.16664116,-.36104113,.32059774,-2
0,0,0,0,-1
.092463918,.18991448,-.29595482,.48088264,0
-.11868063,.17355007,-.47363037,.2362691,1
.0047336104,.19750223,-.39920381,.40867102,2
-.11536413,.22693002,-.57948816,.34875989,3
-.22936371,.21791759,-.67505527,.21632782,4
-.025428735,.2281428,-.49203315,.44117567,5
-.062649444,.19999646,-.47168815,.34638926,6
.034039035,.24865301,-.47451347,.54259151,7
-.077450313,.24108696,-.57052851,.4156279,8
-.11238668,.24855028,-.62072909,.39595574,9
.16831559,.21687309,-.27523968,.61187083,10
.36504954,.37226522,-.39631832,1.1264174,11
-.18523343,.24295442,-.68213099,.31166416,12
-.24334086,.30764121,-.87253779,.38585609,13
-.00051403814,.33184794,-.67921931,.67819118,14
.053089101,.24393307,-.44581002,.55198824,15
-.38314849,.25044253,-.89536101,.12906401,16
-.29667392,.26242045,-.83338398,.24003614,17
.075453214,.3143509,-.56746656,.718373,18
-.16224559,.28603703,-.74725699,.42276585,19
-.068864442,.28349009,-.6486668,.51093793,20
.08741007,.33388904,-.59546971,.77028984,21
.28615838,.28387454,-.29443029,.86674702,22
.11411452,.42245489,-.74990278,.97813183,23
.11876661,.73917675,-1.3930197,1.6305529,24
