theft_to_motorbike_log_index1,theft_to_motorbike_log_index0,lb,ub,exp
-.26654208,.1074905,-.48396215,-.049122021,-24
-.040357947,.066372529,-.17460905,.093893163,-23
-.023868142,.072584532,-.1706842,.12294792,-22
-.058582306,.091131859,-.24291389,.12574928,-21
-.030807013,.077149227,-.18685606,.12524204,-20
.13374175,.086316451,-.040849749,.30833325,-19
.043514062,.081310645,-.12095225,.20798036,-18
.019433873,.099193983,-.1812049,.22007264,-17
-.071003482,.11317302,-.29991749,.15791054,-16
-.083781973,.080701083,-.24701533,.079451367,-15
.052411467,.080678612,-.11077642,.21559936,-14
-.15599883,.095266581,-.34869367,.036696032,-13
-.021797551,.069122836,-.16161169,.11801659,-12
-.065818667,.091231465,-.25035173,.11871439,-11
-.023778221,.066060439,-.15739807,.10984163,-10
.0035729241,.075993158,-.15013775,.1572836,-9
-.054896288,.072083592,-.20069911,.090906531,-8
.067242093,.058281835,-.050644044,.18512823,-7
-.062854432,.081878588,-.22846951,.10276065,-6
-.012000843,.07677938,-.16730179,.14330012,-5
.080953777,.067303523,-.055180456,.21708801,-4
-.070544645,.072592922,-.21737768,.076288395,-3
-.025197832,.063387997,-.15341216,.1030165,-2
0,0,0,0,-1
.029818077,.046593759,-.064426698,.12406285,0
-.02450596,.06377399,-.15350102,.1044891,1
-.0046597035,.08242365,-.17137727,.16205786,2
.009968074,.071550444,-.13475637,.15469252,3
-.11432835,.057544328,-.23072274,.0020660348,4
.00061878772,.073209986,-.14746238,.14869997,5
-.057436038,.077538699,-.21427286,.099400781,6
-.067854807,.093113169,-.25619397,.12048434,7
-.099724628,.086826839,-.27534848,.075899236,8
-.055681974,.068800427,-.19484396,.083480023,9
.023863072,.072639264,-.1230637,.17078985,10
.12056819,.063988224,-.0088602072,.24999659,11
-.079049408,.067260392,-.21509638,.056997579,12
-.037369307,.080659397,-.20051834,.12577972,13
.048435919,.077450931,-.10822338,.20509522,14
-.065818332,.063067444,-.19338427,.061747607,15
-.060522035,.12375476,-.31083968,.1897956,16
-.2390483,.06487935,-.37027916,-.10781743,17
.045123979,.10249592,-.16219358,.25244153,18
-.15616052,.11500054,-.38877106,.07645002,19
-.025680488,.10834108,-.244821,.19346003,20
.018523384,.087742701,-.15895298,.19599976,21
.1611976,.083283618,-.0072594071,.32965463,22
-.016576985,.093734756,-.20617342,.17301945,23
.14692611,.15598322,-.16857976,.46243197,24
