theft_to_people_area_index1,theft_to_people_area_index0,lb,ub,exp
-36.283051,20.516449,-83.59407,11.027966,-15
-35.202614,21.873642,-85.643318,15.238094,-14
-35.371983,20.303062,-82.190933,11.446964,-13
-33.70747,16.975954,-72.854088,5.4391489,-12
-31.513092,17.075663,-70.889641,7.8634553,-11
-24.590267,17.866835,-65.79126,16.610729,-10
-18.651672,15.374926,-54.106316,16.802969,-9
-8.3183327,14.602185,-41.991032,25.354366,-8
-16.964434,12.16434,-45.015453,11.086585,-7
-14.658645,11.345238,-40.820808,11.50352,-6
-9.9778423,10.274841,-33.671669,13.715985,-5
-11.071589,7.0983438,-27.440401,5.2972207,-4
-11.790339,7.0570946,-28.06403,4.4833503,-3
-2.0252945,4.7070332,-12.879733,8.8291435,-2
0,0,0,0,-1
7.0894413,3.6401081,-1.3046627,15.483545,0
17.761513,7.5917339,.254944,35.268082,1
18.509037,7.4771829,1.2666236,35.751453,2
21.613508,6.420577,6.8076315,36.419384,3
20.827477,13.6387,-10.623422,52.278378,4
22.600639,17.464876,-17.673437,62.874718,5
23.986584,14.73952,-10.002811,57.975979,6
33.200829,22.643469,-19.0151,85.416763,7
36.691574,23.36982,-17.199327,90.582474,8
12.483646,25.991096,-47.451931,72.41922,9
12.808812,25.208782,-45.322746,70.940369,10
17.216202,25.138645,-40.753616,75.18602,11
21.983507,24.752337,-35.095486,79.0625,12
32.569939,20.089211,-13.755863,78.895737,13
