theft_to_people_index1,theft_to_people_index0,lb,ub,exp
-1.9520309,1.8136704,-5.6205254,1.7164638,-24
-4.6616912,3.8597901,-12.468853,3.1454713,-23
3.3232152,6.7930908,-10.417109,17.06354,-22
-8.8701696,5.484344,-19.963301,2.2229633,-21
-5.1396284,3.5986295,-12.418544,2.1392872,-20
-9.9924631,6.6405244,-23.424192,3.4392643,-19
-3.4094162,5.8282514,-15.198168,8.3793354,-18
-4.1740427,5.8830609,-16.073656,7.7255716,-17
5.3347731,13.29652,-21.559977,32.229523,-16
3.8187373,13.426509,-23.33894,30.976414,-15
1.7917182,9.8952999,-18.223415,21.806852,-14
6.9977303,10.311093,-13.858424,27.853886,-13
14.863319,15.960472,-17.419783,47.14642,-12
15.8595,14.623737,-13.7198,45.438801,-11
6.9117999,8.8504744,-10.989975,24.813576,-10
-1.7524846,6.9067569,-15.722718,12.21775,-9
-.81006205,7.4444199,-15.867822,14.247698,-8
-5.1900978,7.6284189,-20.620031,10.239836,-7
-3.213793,8.1327925,-19.663918,13.236332,-6
-8.4413671,6.9950428,-22.590178,5.7074428,-5
-7.9730463,7.8295798,-23.809866,7.8637733,-4
-10.551275,6.6001101,-23.901257,2.7987072,-3
-4.2323699,5.5189285,-15.395456,6.9307165,-2
0,0,0,0,-1
-6.9553561,4.010819,-15.068004,1.1572913,0
-6.537674,3.7715082,-14.166269,1.0909214,1
-5.9299774,3.8707519,-13.759312,1.8993574,2
-6.9386086,4.6524553,-16.349087,2.4718702,3
-7.9226599,5.5745249,-19.1982,3.3528802,4
-9.6137762,6.7146063,-23.195349,3.9677975,5
-3.5132682,6.2176523,-16.089657,9.0631199,6
-5.8333549,6.3701534,-18.718206,7.051496,7
-6.455071,7.5881729,-21.803598,8.8934574,8
-7.1173658,8.2678003,-23.84057,9.6058388,9
-4.3042212,8.6479254,-21.796301,13.18786,10
-4.9355311,9.0379324,-23.216475,13.345412,11
-4.9233575,9.4491444,-24.036055,14.189341,12
-4.516582,9.8575468,-24.455351,15.422188,13
-1.0844641,9.576479,-20.45472,18.285791,14
3.7430594,8.4204798,-13.288968,20.775087,15
2.9950624,8.1908703,-13.572537,19.562662,16
3.73206,7.2913337,-11.016055,18.480175,17
3.4458508,6.014255,-8.7191277,15.610829,18
4.0111504,6.0015631,-8.1281567,16.150457,19
2.6139936,5.73844,-8.9930973,14.221085,20
2.5190735,6.6487327,-10.929257,15.967404,21
3.0447805,7.3947439,-11.912501,18.002062,22
2.4209032,7.276094,-12.296386,17.138191,23
3.1248119,7.8206306,-12.693907,18.943531,24
